Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,1508.00,1524.75,1496.10,1521.25,1512.618731352964067972,77090,2318,116607778.00,11042,14.32,28.65,13.25
30-July-2019,1513.10,1526.60,1503.30,1508.10,1513.880467178302660010,53684,3213,81271159.00,11541,21.50,23.30,-5.00
29-July-2019,1524.60,1538.35,1507.00,1513.10,1520.348492955234528268,61677,3156,93770534.00,12826,20.80,31.35,-11.50
26-July-2019,1495.00,1530.00,1486.10,1524.60,1512.218599870933817729,83678,4480,126539428.00,30887,36.91,43.90,29.60
25-July-2019,1483.00,1502.65,1459.10,1495.50,1487.182793702058942268,123850,6921,184187589.00,30152,24.35,43.55,12.50
24-July-2019,1430.00,1493.40,1396.00,1483.60,1452.364401574408343361,319104,15108,463455290.00,56886,17.83,97.40,53.60
23-July-2019,1410.00,1443.75,1402.00,1428.35,1426.706039495544479685,105936,7396,151139531.00,38275,36.13,41.75,18.35
22-July-2019,1385.00,1409.70,1359.40,1403.35,1394.791250770178681454,73035,3151,101868579.00,16698,22.86,50.30,18.35
19-July-2019,1389.95,1398.85,1365.00,1368.00,1376.778243082176336049,31043,2517,42739327.00,10358,33.37,33.85,-21.95
18-July-2019,1400.00,1400.00,1377.20,1383.70,1384.800937480976441224,16427,1082,22748125.00,5271,32.09,22.80,-16.30
17-July-2019,1375.05,1404.00,1375.05,1394.85,1390.196348206249196348,69993,2935,97304013.00,18354,26.22,28.95,19.80
16-July-2019,1354.95,1375.00,1346.00,1371.90,1368.002795527156549520,52584,2423,71935059.00,26056,49.55,29.00,16.95
15-July-2019,1370.00,1370.00,1348.20,1353.80,1356.981683494850068496,39418,2686,53489504.00,17280,43.84,21.80,-16.20
12-July-2019,1331.00,1367.70,1326.20,1360.40,1348.061527006904020576,29548,1469,39832522.00,8231,27.86,41.50,29.40
11-July-2019,1323.00,1336.45,1311.05,1332.70,1328.086673889490790899,30459,1564,40452192.00,9174,30.12,25.40,9.70
10-July-2019,1336.80,1338.45,1312.60,1322.85,1326.776110137306456324,27384,1691,36332437.00,5354,19.55,25.85,-13.95
9-July-2019,1342.05,1342.05,1291.45,1320.45,1309.503643162235261080,67661,3416,88602326.00,18234,26.95,50.60,-21.60
8-July-2019,1358.60,1361.35,1333.10,1339.75,1342.442886420019415381,27813,1541,37337364.00,8569,30.81,28.25,-18.85
5-July-2019,1360.60,1373.00,1353.95,1358.40,1364.317270025665270836,29612,1490,40400163.00,9088,30.69,19.05,-2.20
4-July-2019,1364.80,1366.65,1352.00,1359.80,1362.446665822036403564,118395,1866,161306873.00,94856,80.12,14.65,-5.00
3-July-2019,1353.60,1370.55,1350.25,1352.35,1358.433727910871897171,53137,2299,72183093.00,16032,30.17,20.30,-1.25
2-July-2019,1357.65,1359.50,1341.75,1345.95,1347.710837096213963181,28790,1543,38800595.00,12547,43.58,17.75,-11.70
1-July-2019,1365.00,1371.75,1352.00,1354.15,1361.447727194284333689,28973,1615,39445225.00,10974,37.88,19.75,-10.85
28-June-2019,1365.00,1370.90,1350.00,1357.65,1357.535667271498203294,28107,1383,38156255.00,10059,35.79,20.90,-7.35
27-June-2019,1366.90,1369.50,1357.95,1361.90,1365.433806719334683831,468469,2040,639663410.00,438379,93.58,11.55,-5.00
26-June-2019,1361.50,1370.10,1352.20,1359.90,1361.962819150884647789,27299,1217,37180223.00,7851,28.76,17.90,-1.60
25-June-2019,1374.90,1374.90,1360.15,1363.20,1364.381081011551027758,38871,1793,53034857.00,18108,46.58,14.75,-11.70
24-June-2019,1383.15,1396.70,1368.70,1376.45,1376.547768698931489629,25456,1156,35041400.00,8878,34.88,28.00,-6.70
21-June-2019,1384.00,1394.00,1372.65,1382.95,1383.315504790401933423,34757,1287,48079897.00,15597,44.87,21.35,-1.05
20-June-2019,1370.00,1404.15,1360.85,1390.10,1388.168390958267344042,48619,1512,67491359.00,27141,55.82,43.30,20.10
19-June-2019,1390.80,1396.80,1371.90,1381.75,1384.714755582377791188,33140,1487,45889447.00,8790,26.52,24.90,-9.05
18-June-2019,1413.85,1413.85,1376.65,1380.40,1384.345788442091859027,80101,2953,110887482.00,56983,71.14,37.20,-33.45
17-June-2019,1415.00,1424.60,1397.15,1401.80,1408.272061694650527137,30732,1277,43279017.00,8953,29.13,27.45,-13.20
14-June-2019,1430.00,1431.70,1411.00,1412.65,1418.909698681732580037,42480,1839,60275284.00,17704,41.68,20.70,-17.35
13-June-2019,1438.70,1438.70,1421.10,1427.15,1429.752373977785914805,40965,2942,58569806.00,10933,26.69,17.60,-11.55
12-June-2019,1434.80,1439.80,1420.25,1425.55,1430.002465912387583405,34470,1797,49292185.00,10550,30.61,19.55,-9.25
11-June-2019,1435.00,1435.00,1411.00,1426.25,1423.784164255508568884,35944,1580,51176498.00,11809,32.85,24.00,-8.75
10-June-2019,1423.05,1442.00,1417.45,1422.00,1423.701453379674751895,163137,5428,232258384.00,117998,72.33,24.55,-1.05
7-June-2019,1427.50,1438.25,1413.35,1421.10,1422.705903737094663370,68770,1705,97839485.00,32436,47.17,24.90,-6.40
6-June-2019,1428.00,1459.55,1423.65,1427.80,1437.498943513170869136,170376,4345,244915320.00,79833,46.86,35.90,-0.20
4-June-2019,1459.00,1459.00,1417.55,1421.25,1426.926880833290362501,58179,2765,83017179.00,22683,38.99,41.45,-37.75
3-June-2019,1424.95,1464.90,1424.95,1458.00,1453.190433516770165429,237684,6587,345400115.00,149609,62.94,39.95,33.05
31-May-2019,1377.20,1426.00,1377.20,1406.70,1412.601440893618427575,181554,6939,256463442.00,36962,20.36,48.80,29.50
30-May-2019,1359.35,1387.50,1353.60,1373.35,1373.211586157496530420,111685,3047,153367136.00,45945,41.14,33.90,14.00
29-May-2019,1364.00,1365.00,1347.80,1359.35,1354.757991518477602366,28061,1630,38015864.00,12440,44.33,17.20,-4.65
28-May-2019,1366.15,1387.80,1360.55,1366.30,1373.942194803783019893,36796,1866,50555577.00,11720,31.85,27.25,0.15
27-May-2019,1393.20,1395.00,1362.00,1365.70,1372.278265982816634543,122444,2378,168027240.00,88521,72.30,33.00,-27.50
24-May-2019,1385.00,1399.00,1377.35,1385.55,1390.005281332520820637,59076,1885,82115952.00,24231,41.02,21.65,0.55
23-May-2019,1375.20,1386.90,1359.00,1369.45,1374.563083189335966428,162040,2196,222734202.00,113382,69.97,27.90,-5.75
22-May-2019,1379.00,1379.00,1349.00,1366.75,1364.519819945564938237,28658,1353,39104409.00,7996,27.90,30.00,-12.25
21-May-2019,1383.50,1383.85,1352.20,1358.55,1371.126005551112574681,42514,2398,58292051.00,14416,33.91,31.65,-24.95
20-May-2019,1335.15,1377.00,1335.15,1372.75,1356.570065182634362317,40655,1827,55151356.00,11821,29.08,41.85,37.60
17-May-2019,1306.90,1329.00,1301.75,1318.15,1317.674679223931811129,54789,2250,72194078.00,20167,36.81,27.25,11.25
16-May-2019,1311.70,1314.00,1294.50,1307.00,1303.330919787306256363,26517,1325,34560426.00,7128,26.88,19.50,-4.70
15-May-2019,1327.00,1328.60,1303.65,1307.15,1310.834492511038642463,34651,1699,45421726.00,12179,35.15,24.95,-19.85
14-May-2019,1331.70,1333.45,1301.90,1318.85,1316.649692468376465127,86170,3005,113455704.00,28630,33.22,31.55,-12.85
13-May-2019,1340.00,1344.30,1324.25,1332.90,1333.429577270342656763,36217,1996,48292819.00,14756,40.74,20.05,-7.10
10-May-2019,1310.05,1355.00,1310.05,1340.95,1329.715212330216749872,321292,6160,427226860.00,220315,68.57,44.95,30.90
9-May-2019,1390.00,1393.00,1347.00,1355.80,1367.860732284341802596,152591,5151,208723237.00,73177,47.96,46.00,-34.20
8-May-2019,1382.80,1399.00,1365.65,1387.60,1381.643477802244168721,75841,2235,104785223.00,33144,43.70,33.35,4.80
