Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,694.00,695.35,657.65,674.40,677.629864449182210823,1271110,19847,861342097.00,203748,16.03,37.70,-19.60
30-July-2019,725.05,727.70,701.10,706.55,714.578409448859894150,384131,7101,274491719.00,92432,24.06,26.60,-18.50
29-July-2019,745.00,745.00,709.90,719.65,719.954332723948811700,328200,5586,236289012.00,77007,23.46,35.10,-25.35
26-July-2019,723.30,732.30,719.10,729.85,727.757890151026203691,185928,3957,135310569.00,47590,25.60,13.20,6.55
25-July-2019,712.00,725.85,706.55,723.30,718.379189435615633624,163417,3562,117395372.00,30459,18.64,19.30,11.30
24-July-2019,729.00,732.75,709.45,711.10,716.364444607822543376,190424,4655,136412983.00,39607,20.80,23.30,-17.90
23-July-2019,734.90,739.30,715.85,726.40,731.334108812015658704,312925,5355,228852726.00,81304,25.98,23.45,-8.50
22-July-2019,732.75,738.40,720.60,727.50,730.153859146127764148,473654,4888,345840296.00,249562,52.69,17.80,-5.25
19-July-2019,744.00,746.45,723.25,729.45,734.168755390938150083,177381,4304,130227588.00,33434,18.85,23.20,-14.55
18-July-2019,754.95,754.95,734.75,740.85,741.160617567583653743,336028,6065,249050720.00,157177,46.77,20.20,-14.10
17-July-2019,761.70,765.60,750.20,752.65,756.586851244221972073,208765,3253,157948854.00,85083,40.76,15.40,-9.05
16-July-2019,752.50,763.00,748.00,761.70,756.172560241322984106,419355,5356,317104744.00,256329,61.12,15.00,9.20
15-July-2019,757.95,759.20,744.00,749.65,749.157564897599234456,426364,6080,319413816.00,267393,62.71,15.20,-8.30
12-July-2019,767.00,768.00,751.10,755.45,756.716841377721460661,260430,5300,197071767.00,73186,28.10,16.90,-11.55
11-July-2019,772.20,773.25,763.00,766.65,768.658105380385605902,330441,4166,253996153.00,173383,52.47,10.25,-5.55
10-July-2019,788.95,789.40,764.45,768.50,773.649720769435333747,203058,4205,157095765.00,51997,25.61,24.95,-20.45
9-July-2019,782.00,788.60,776.60,786.20,782.900566682847554927,189524,3167,148378447.00,64643,34.11,12.00,4.20
8-July-2019,803.40,804.45,779.05,783.05,786.442002893556147994,246064,5306,193515065.00,57827,23.50,25.40,-20.35
5-July-2019,811.90,813.00,801.80,805.95,807.770814164542387538,198891,3723,160658345.00,57530,28.93,11.20,-5.95
4-July-2019,809.05,813.50,804.25,808.65,808.247383363043571131,257487,3930,208113194.00,104352,40.53,9.25,-0.40
3-July-2019,803.50,811.00,801.75,806.30,807.723118388430681731,222243,4415,179510809.00,95748,43.08,9.25,2.80
2-July-2019,813.00,813.35,800.70,802.65,806.454537607937764801,266473,2759,214898360.00,157105,58.96,12.65,-10.35
1-July-2019,810.00,819.05,807.55,810.25,814.562540843616314381,182097,3319,148329395.00,55470,30.46,11.50,0.25
28-June-2019,793.15,812.90,793.15,807.65,803.294290589316183226,304760,5694,244811968.00,75609,24.81,19.75,14.50
27-June-2019,789.35,806.65,782.00,800.35,797.259946273182353290,572526,9247,456452048.00,137893,24.08,24.65,11.00
26-June-2019,782.35,792.00,781.70,788.95,788.242360561824572570,213661,4965,168416651.00,50848,23.80,10.30,6.60
25-June-2019,763.00,783.00,757.00,781.85,772.350322385991574383,357956,5708,276467432.00,137522,38.42,26.00,18.85
24-June-2019,771.00,775.35,760.90,762.85,766.377508873601654988,141149,3347,108173419.00,44051,31.21,14.45,-8.15
21-June-2019,776.35,778.30,763.55,771.95,774.268442458838445132,811619,4280,628410979.00,543702,66.99,14.75,-4.40
20-June-2019,773.50,774.50,759.00,771.45,766.322931598962073157,385769,4780,295623631.00,150812,39.09,15.50,-2.05
19-June-2019,782.00,789.25,763.75,771.25,777.822621188770931143,279667,4590,217531319.00,62068,22.19,25.50,-10.75
18-June-2019,782.00,784.60,770.15,776.25,779.633693809486875491,361004,5303,281450882.00,176971,49.02,14.45,-5.75
17-June-2019,801.00,802.40,775.25,776.70,784.423477211307806759,263464,6627,206667347.00,70944,26.93,27.15,-24.30
14-June-2019,820.00,822.90,796.75,800.15,810.156252611223186468,335092,3945,271476879.00,141349,42.18,26.15,-19.85
13-June-2019,812.35,822.00,811.90,819.70,817.096078990518286162,280540,2946,229228134.00,142726,50.88,10.10,7.35
12-June-2019,816.00,816.00,809.50,812.35,811.754276137621376370,254786,3372,206823625.00,36513,14.33,6.50,-3.65
11-June-2019,817.70,821.35,807.50,814.95,814.682201647782400631,121618,3314,99080020.00,24093,19.81,13.85,-2.75
10-June-2019,810.00,816.20,806.65,814.20,812.323050224179973255,203408,7653,165233007.00,52729,25.92,9.55,4.20
7-June-2019,809.70,812.80,801.65,804.20,806.554067137085513209,214844,3035,173283302.00,45264,21.07,11.15,-5.50
6-June-2019,826.55,826.55,806.05,808.85,816.518741858861389931,261020,4273,213127722.00,34543,13.23,20.50,-17.70
4-June-2019,807.80,826.40,805.55,821.40,814.649917898568763088,875746,6838,713426407.00,459940,52.52,20.85,13.60
3-June-2019,810.10,815.00,804.00,812.30,809.137735298594550712,157672,3133,127578365.00,34574,21.93,11.00,2.20
31-May-2019,813.40,818.15,794.00,808.50,809.069983381439692119,285825,3897,231252428.00,42500,14.87,24.15,-4.90
30-May-2019,804.80,814.15,803.05,808.10,809.060438373541321003,217577,3148,176032943.00,31097,14.29,11.10,3.30
29-May-2019,809.50,813.25,802.50,804.80,806.671632208984563640,176013,2951,141984694.00,31098,17.67,10.75,-4.70
28-May-2019,814.90,821.40,802.10,808.75,810.544545640036356216,323466,4210,262183602.00,67199,20.77,19.30,-6.15
27-May-2019,793.65,814.70,787.60,812.45,804.531717702115507971,469249,5213,377525704.00,170992,36.44,27.10,18.80
24-May-2019,779.00,795.40,779.00,793.65,786.611614429908046780,944067,5665,742614067.00,742332,78.63,16.40,14.65
23-May-2019,789.90,803.70,770.50,777.05,791.322061300703697928,782438,10795,619160451.00,185009,23.65,33.20,-12.85
22-May-2019,776.40,783.35,770.05,779.30,779.193065439411371997,140802,3242,109711942.00,26333,18.70,13.30,2.90
21-May-2019,791.00,791.00,771.55,773.10,780.361228103672256103,267111,4883,208443068.00,44921,16.82,19.45,-17.90
20-May-2019,764.50,789.00,762.00,782.75,774.210124992100830447,1835636,8174,1421167977.00,1364033,74.31,27.00,18.25
17-May-2019,734.00,751.50,727.25,748.15,741.335877170294881311,297713,3971,220705328.00,42521,14.28,24.25,14.15
16-May-2019,721.90,735.80,719.70,732.25,727.329507054701227944,192354,3661,139904740.00,38123,19.82,16.10,10.35
15-May-2019,736.30,737.65,716.40,721.25,728.579289583101997507,405255,4847,295260400.00,135037,33.32,21.25,-15.05
14-May-2019,731.80,738.10,722.45,731.50,730.008620567426165123,352645,4552,257433890.00,86773,24.61,15.65,-0.30
13-May-2019,730.95,742.50,730.00,732.35,735.913228308374424114,963517,7532,709064906.00,341802,35.47,12.50,1.40
