Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,2475.00,2535.00,2448.00,2517.50,2506.574044585987261146,25120,1728,62965140.00,4296,17.10,87.00,42.50
30-July-2019,2485.00,2514.15,2447.00,2460.55,2471.984156136742090312,40836,2654,100945945.00,9211,22.56,67.15,-24.45
29-July-2019,2605.00,2605.00,2400.00,2488.60,2499.656790242028428736,41648,3124,104105706.00,11023,26.47,205.00,-116.40
26-July-2019,2540.10,2679.50,2506.15,2619.40,2609.479242247929358614,116872,6849,304975058.00,6894,5.90,173.35,79.30
25-July-2019,2525.05,2566.00,2514.00,2545.15,2553.397129617132316551,22227,1355,56754358.00,1794,8.07,52.00,20.10
24-July-2019,2528.70,2540.90,2481.45,2522.40,2514.899907206928549334,16165,1227,40653357.00,2864,17.72,59.45,-6.30
23-July-2019,2572.90,2572.90,2517.35,2524.95,2526.548762144802634253,24599,2186,62150573.00,12536,50.96,55.55,-47.95
22-July-2019,2560.00,2606.40,2515.00,2561.65,2557.494326725905673274,14630,1334,37416142.00,2168,14.82,91.40,1.65
19-July-2019,2652.00,2652.00,2550.00,2557.55,2584.940649560795191863,17304,1466,44729813.00,3250,18.78,102.00,-94.45
18-July-2019,2670.00,2703.20,2625.00,2632.85,2653.305019671043276295,21097,1354,55976776.00,4073,19.31,78.20,-37.15
17-July-2019,2732.25,2735.50,2691.65,2696.45,2706.772206150219650701,9333,902,25262305.00,1923,20.60,43.85,-35.80
16-July-2019,2700.00,2744.75,2680.00,2732.25,2718.120480787431383683,10566,1014,28719661.00,1751,16.57,64.75,32.25
15-July-2019,2740.00,2754.40,2706.30,2714.25,2731.287368915323211770,12778,1443,34900390.00,2564,20.07,48.10,-25.75
12-July-2019,2715.00,2752.40,2695.00,2721.75,2725.534481002342874605,9817,970,26756572.00,1696,17.28,57.40,6.75
11-July-2019,2714.90,2721.05,2661.95,2711.65,2692.292808005003126954,15990,1566,43049762.00,3063,19.16,59.10,-3.25
10-July-2019,2791.05,2791.05,2722.05,2741.90,2748.103399028848900314,10503,1249,28863330.00,2554,24.32,69.00,-49.15
9-July-2019,2779.90,2794.15,2755.25,2784.75,2776.665936028576067543,12318,968,34202971.00,2452,19.91,38.90,4.85
8-July-2019,2831.00,2831.00,2746.95,2779.90,2776.111530452889120249,23052,2009,63994923.00,4455,19.33,84.05,-51.10
5-July-2019,2898.00,2917.10,2826.50,2838.20,2878.475861632032437911,15784,1216,45433863.00,2774,17.57,90.60,-59.80
4-July-2019,2889.00,2909.35,2878.00,2895.55,2892.259514958399716764,11298,771,32676748.00,2388,21.14,31.35,6.55
3-July-2019,2894.85,2909.00,2872.70,2895.35,2894.663886255924170616,10550,731,30538704.00,1662,15.75,36.30,0.50
2-July-2019,2920.00,2925.00,2866.00,2886.25,2883.848909798244820410,11053,741,31875182.00,1990,18.00,59.00,-33.75
1-July-2019,2845.80,2919.00,2844.25,2910.70,2890.625102776547972930,31622,1848,91407347.00,3481,11.01,74.75,64.90
28-June-2019,2865.70,2866.35,2820.00,2828.15,2840.429263470093919920,10115,914,28730942.00,2319,22.93,46.35,-37.55
27-June-2019,2863.65,2908.95,2852.55,2866.85,2884.537020085078886435,18571,1171,53568737.00,10373,55.86,56.40,3.20
26-June-2019,2824.75,2876.70,2821.70,2868.20,2856.573441813162865029,6883,663,19661795.00,1738,25.25,55.00,43.45
25-June-2019,2814.95,2854.00,2716.90,2843.70,2813.053466270188327211,17151,1095,48246680.00,3679,21.45,137.10,28.75
24-June-2019,2850.00,2878.35,2802.00,2816.45,2818.756036343557050348,19921,1726,56152439.00,4424,22.21,76.35,-33.55
21-June-2019,2892.15,2910.65,2845.65,2873.15,2884.093125881443064464,21981,1267,63395251.00,4638,21.10,65.00,-19.00
20-June-2019,2830.00,2908.55,2805.50,2895.60,2868.353588549051380730,14811,983,42483185.00,3294,22.24,103.05,65.60
19-June-2019,2873.05,2880.95,2804.00,2821.75,2832.974103877103145574,13670,958,38726756.00,2113,15.46,76.95,-51.30
18-June-2019,2858.70,2880.75,2839.20,2856.80,2860.822549336784212229,12364,915,35371210.00,2536,20.51,41.55,-1.90
17-June-2019,2876.00,2877.00,2829.00,2838.55,2849.619132464979110346,16276,866,46380401.00,5682,34.91,48.00,-37.45
14-June-2019,2930.60,2930.60,2863.10,2870.30,2880.758443527330918891,23746,1418,68406490.00,7215,30.38,67.50,-60.30
13-June-2019,2941.35,2941.35,2901.00,2925.80,2922.375771494186881010,13934,1087,40720384.00,2889,20.73,40.35,-15.55
12-June-2019,2999.95,2999.95,2936.15,2949.25,2949.942231769623780771,17224,1209,50809805.00,4012,23.29,63.80,-50.70
11-June-2019,2992.45,3024.45,2982.00,2990.40,3003.357678729037952338,18128,1156,54444868.00,3574,19.72,42.45,-2.05
10-June-2019,2968.00,3000.00,2968.00,2984.90,2985.043026706231454005,8762,759,26154947.00,1507,17.20,32.00,16.90
