Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,3230.05,3265.35,3161.70,3250.90,3213.638141073845691081,132980,8655,427349600.00,13803,10.38,103.65,20.85
30-July-2019,3274.50,3299.00,3233.00,3250.10,3266.294741201644791985,101411,7069,331238216.00,15599,15.38,66.00,-24.40
29-July-2019,3275.00,3298.70,3181.10,3252.20,3248.704666730798612486,176719,11511,574107840.00,16791,9.50,117.60,-22.80
26-July-2019,3050.00,3279.65,2995.55,3265.85,3165.566101634757300506,338093,22358,1070255740.00,49467,14.63,284.10,215.85
25-July-2019,3195.25,3242.25,2998.00,3046.40,3117.495558888882453894,518001,32769,1614865817.00,58726,11.34,244.25,-148.85
24-July-2019,3275.05,3294.00,3137.10,3171.60,3195.490140105914346145,125762,8717,401871231.00,16115,12.81,156.90,-103.45
23-July-2019,3251.40,3297.85,3209.20,3275.45,3249.749288500052703699,132818,10113,431625201.00,20223,15.23,88.65,24.05
22-July-2019,3322.05,3322.05,3165.00,3248.55,3228.181533521658404465,163193,12223,526816629.00,13874,8.50,157.05,-73.50
19-July-2019,3493.95,3499.00,3264.20,3322.05,3341.400431076004238512,166096,12298,554993246.00,27122,16.33,234.80,-171.90
18-July-2019,3460.00,3518.00,3445.00,3466.35,3486.230580034503660185,85788,9254,299076749.00,23741,27.67,73.00,6.35
17-July-2019,3445.00,3479.90,3440.00,3461.55,3466.651840106817992155,59915,3520,207704445.00,11759,19.63,39.90,16.55
16-July-2019,3435.00,3464.75,3405.00,3448.80,3441.027125170598557223,82064,5392,282384450.00,14103,17.19,59.75,13.80
15-July-2019,3311.00,3438.90,3311.00,3412.25,3402.438732945163813331,92056,6920,313214900.00,15098,16.40,127.90,101.25
12-July-2019,3478.95,3478.95,3366.00,3377.75,3405.371061366515401760,124726,9034,424738311.00,18985,15.22,112.95,-101.20
11-July-2019,3461.80,3525.50,3367.60,3449.35,3455.748064462535304867,180570,11263,624004428.00,15011,8.31,157.90,-12.45
10-July-2019,3603.00,3603.00,3412.00,3426.55,3509.910952418246673264,140453,10392,492977523.00,18704,13.32,191.00,-176.45
9-July-2019,3414.00,3624.05,3338.75,3603.35,3519.127432521934557253,268754,18709,945779574.00,20157,7.50,285.30,189.35
8-July-2019,3730.00,3730.75,3377.30,3414.75,3470.087399219663843116,254762,17850,884046406.00,51038,20.03,353.45,-315.25
5-July-2019,3739.95,3761.35,3707.00,3719.00,3735.756803005008347245,47920,3183,179017466.00,7840,16.36,54.35,-20.95
4-July-2019,3720.00,3750.00,3707.60,3731.10,3725.254452757730252267,45309,2495,168787554.00,6990,15.43,42.40,11.10
3-July-2019,3715.00,3730.95,3698.75,3713.95,3718.414355254990362311,30609,2118,113816945.00,8752,28.59,32.20,-1.05
2-July-2019,3710.00,3721.05,3670.00,3712.35,3703.161134723065506307,29646,1949,109783915.00,5610,18.92,51.05,2.35
1-July-2019,3685.00,3716.25,3685.00,3698.00,3704.634808775889334131,65133,4500,241293979.00,14075,21.61,31.25,13.00
28-June-2019,3630.00,3695.00,3630.00,3682.30,3665.571750736377025036,43456,2723,159291086.00,7986,18.38,65.00,52.30
27-June-2019,3628.20,3660.00,3620.65,3640.15,3639.725399531832500072,69206,3513,251890836.00,17023,24.60,39.35,11.95
26-June-2019,3580.00,3634.70,3563.45,3627.60,3605.375216688416665043,51341,3170,185103569.00,16020,31.20,71.25,47.60
25-June-2019,3545.00,3587.95,3529.60,3581.20,3564.182661586159562634,42253,2252,150597410.00,7555,17.88,58.35,36.20
24-June-2019,3566.10,3577.60,3535.00,3545.70,3551.518765311121999020,20410,1261,72486498.00,3885,19.03,42.60,-20.40
21-June-2019,3587.00,3596.00,3553.15,3566.35,3575.687196462001790704,36857,2149,131789103.00,7085,19.22,42.85,-20.65
20-June-2019,3524.00,3590.70,3508.35,3582.45,3561.357222861765346442,64282,3537,228931165.00,19346,30.10,82.35,58.45
19-June-2019,3530.00,3547.65,3500.70,3524.70,3527.075216838209783740,43235,2688,152493097.00,6774,15.67,46.95,-5.30
18-June-2019,3460.55,3529.00,3460.55,3508.15,3500.459036889468983993,72785,3359,254780911.00,11749,16.14,68.45,47.60
17-June-2019,3519.80,3528.75,3456.00,3466.55,3485.206481361027998207,69183,3421,241117040.00,12471,18.03,72.75,-53.25
14-June-2019,3550.00,3566.00,3500.00,3519.80,3538.970203415116021208,99206,3876,351087078.00,9803,9.88,66.00,-30.20
13-June-2019,3514.95,3550.00,3498.40,3542.85,3523.833692462394056927,48729,2317,171712892.00,5748,11.80,51.60,27.90
12-June-2019,3550.00,3550.00,3485.00,3510.10,3508.032952674628269788,76534,2917,268483794.00,6799,8.88,65.00,-39.90
11-June-2019,3522.00,3564.00,3511.75,3547.50,3544.092595554134015672,56277,3116,199450899.00,12460,22.14,52.25,25.50
10-June-2019,3540.00,3555.00,3508.00,3520.90,3529.394465937762825904,59450,4379,209822501.00,12655,21.29,47.00,-19.10
7-June-2019,3468.00,3519.95,3420.20,3511.40,3485.460075168586586342,73701,3934,256881893.00,8069,10.95,99.75,43.40
6-June-2019,3535.00,3540.00,3445.00,3452.90,3485.134485835596826859,101981,5014,355417500.00,24940,24.46,95.00,-82.10
4-June-2019,3510.05,3547.40,3510.05,3532.55,3534.047848082704010557,68195,3510,241004393.00,17199,25.22,37.35,22.50
3-June-2019,3465.00,3529.95,3465.00,3510.75,3509.011558807764908764,85822,6588,301150390.00,28847,33.61,64.95,45.75
31-May-2019,3508.00,3534.80,3454.00,3469.70,3497.348021524303443061,169297,9302,592090528.00,51997,30.71,80.80,-38.30
30-May-2019,3410.00,3486.90,3402.20,3480.75,3453.829523007204276086,68848,3689,237789255.00,10184,14.79,84.70,70.75
29-May-2019,3424.00,3433.90,3390.00,3410.25,3408.674391800107026715,48586,2448,165613854.00,6323,13.01,43.90,-13.75
28-May-2019,3455.00,3472.90,3390.00,3412.35,3416.704043203297093725,56292,2980,192333104.00,9549,16.96,82.90,-42.65
27-May-2019,3450.20,3488.15,3435.00,3447.50,3458.686657042689214270,48490,2825,167711716.00,5867,12.10,53.15,-2.70
24-May-2019,3399.00,3475.00,3391.10,3466.15,3436.858223580661866997,98479,4691,338458361.00,10262,10.42,83.90,67.15
23-May-2019,3529.00,3529.00,3355.55,3377.95,3448.882887389197300555,121951,7652,420594717.00,20049,16.44,173.45,-151.05
22-May-2019,3433.05,3457.80,3397.55,3447.70,3431.444401045904805303,92169,4394,316272799.00,21038,22.83,60.25,14.65
21-May-2019,3415.35,3484.90,3371.55,3432.65,3429.185783434922911437,167340,9307,573839949.00,33360,19.94,113.35,17.30
20-May-2019,3399.85,3442.85,3340.00,3406.70,3392.871050914851977260,160955,7723,546099560.00,25961,16.13,102.85,6.85
17-May-2019,3144.00,3314.95,3125.00,3301.20,3258.409711544476674316,303721,15608,989647456.00,41357,13.62,189.95,157.20
16-May-2019,3006.50,3131.50,3006.50,3111.80,3062.311538586094109265,339669,11905,1040172298.00,140456,41.35,125.00,105.30
15-May-2019,2929.95,3020.00,2873.00,3002.55,2965.078437091803736065,157706,10455,467610660.00,32908,20.87,147.00,72.60
14-May-2019,2925.00,2941.95,2849.20,2884.05,2886.582393705241774772,77779,4386,224515492.00,12961,16.66,92.75,-40.95
13-May-2019,2921.00,2955.90,2908.60,2928.55,2931.651239251390996459,51402,2955,150692737.00,6475,12.60,47.30,7.55
10-May-2019,2980.00,2995.00,2902.25,2921.45,2927.605715463705001674,77614,4244,227223190.00,10781,13.89,92.75,-58.55
9-May-2019,2904.70,2991.10,2884.90,2969.85,2951.055319764004047146,76103,4556,224584163.00,7403,9.73,106.20,65.15
8-May-2019,3017.70,3017.70,2895.30,2921.90,2965.042188698542572232,58665,2902,173944200.00,14975,25.53,122.40,-95.80
7-May-2019,3055.20,3068.70,3011.55,3019.25,3042.882175435363493964,43412,2367,132097601.00,9863,22.72,57.15,-35.95
6-May-2019,3079.00,3093.00,3027.70,3036.80,3065.539282454539071824,42729,2592,130987428.00,10768,25.20,65.30,-42.20
3-May-2019,3133.70,3162.35,3099.60,3109.25,3135.993484251461536480,77658,2977,243534982.00,13601,17.51,62.75,-24.45
2-May-2019,3099.60,3146.90,3060.00,3129.15,3122.773569002702099705,40339,2399,125969563.00,8685,21.53,86.90,29.55
30-April-2019,3085.15,3105.00,3042.70,3094.25,3072.920014921770424173,45571,2317,140036038.00,8332,18.28,62.30,9.10
26-April-2019,3075.00,3100.05,3046.00,3091.40,3070.436694615517795750,40431,2031,124140826.00,5059,12.51,54.05,16.40
25-April-2019,3085.00,3114.90,3072.70,3080.55,3096.358533092914722104,37712,2481,116769873.00,8679,23.01,42.20,-4.45
24-April-2019,3048.90,3100.00,3032.00,3092.00,3072.329263230716015219,57820,2905,177642078.00,13260,22.93,68.00,43.10
23-April-2019,2983.55,3056.50,2983.55,3035.50,3033.659115609292215731,58888,3021,178646118.00,9077,15.41,72.95,51.95
22-April-2019,3022.95,3022.95,2974.95,2991.45,2989.594780800103994020,30771,1934,91992821.00,7749,25.18,48.00,-31.50
18-April-2019,3059.95,3059.95,2995.50,3013.80,3017.314071416924832871,30665,2083,92525936.00,7011,22.86,64.45,-46.15
16-April-2019,3022.55,3057.00,3020.00,3031.40,3053.261713251784122822,445457,2420,1360096803.00,7144,1.60,37.00,8.85
15-April-2019,3030.00,3035.90,3004.95,3022.55,3017.629244709214129277,415959,2643,1255210043.00,21076,5.07,30.95,-7.45
12-April-2019,3057.90,3060.85,3001.05,3007.10,3025.582591573067572183,49769,2424,150580220.00,13580,27.29,59.80,-50.80
11-April-2019,3002.75,3053.55,2993.25,3048.80,3022.850788704965920155,51350,2526,155223388.00,8381,16.32,60.30,46.05
10-April-2019,3020.00,3036.45,2990.25,3002.00,3012.292033838561861120,45392,2431,136733960.00,6243,13.75,46.20,-18.00
9-April-2019,3020.00,3051.00,2978.00,3014.20,3001.572343306107954545,180224,4258,540955374.00,107081,59.42,73.00,-5.80
