Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,198.00,205.25,197.15,204.50,202.402655038572106124,206626,1924,41821651.00,54905,26.57,8.10,6.50
30-July-2019,205.10,206.85,198.00,199.75,202.236374011675277158,327701,2854,66273062.00,136137,41.54,8.85,-5.35
29-July-2019,210.70,212.50,204.70,205.40,207.596245223062843924,167733,1913,34820741.00,55554,33.12,7.80,-5.30
26-July-2019,209.75,212.75,205.45,210.70,209.472979088104216660,218775,2462,45827451.00,41345,18.90,7.30,0.95
25-July-2019,218.00,218.20,208.15,209.05,212.113671092002440228,344230,4333,73015889.00,136219,39.57,10.05,-8.95
24-July-2019,218.10,219.80,215.40,216.80,217.038595351523025840,138540,1426,30068527.00,27157,19.60,4.40,-1.30
23-July-2019,220.05,222.85,217.20,218.00,219.647254774676278656,117076,1186,25715422.00,31187,26.64,5.65,-2.05
22-July-2019,223.45,223.50,216.50,221.20,220.052757711997739859,205297,1796,45176171.00,25775,12.55,7.00,-2.25
19-July-2019,220.80,224.10,217.65,221.95,220.928481193844828537,380753,3255,84119182.00,69748,18.32,6.45,1.15
18-July-2019,230.00,231.10,219.70,220.45,223.424196941627154834,318470,3536,71153904.00,122210,38.37,11.40,-9.55
17-July-2019,233.00,234.00,229.05,230.05,230.396580295747909510,157499,1345,36287231.00,32239,20.47,4.95,-2.95
16-July-2019,230.90,233.60,229.20,232.80,231.518617575973205412,81509,1045,18870851.00,21748,26.68,4.40,1.90
15-July-2019,231.00,231.90,228.25,230.25,229.831046032545869520,134948,2430,31015240.00,47696,35.34,3.65,-0.75
12-July-2019,235.70,236.30,229.50,231.00,232.983659699424253922,121234,1718,28245541.00,39378,32.48,6.80,-4.70
11-July-2019,235.10,235.50,232.65,234.85,234.089116674270072992,70144,689,16419947.00,20115,28.68,2.85,-0.25
10-July-2019,230.65,234.50,230.55,233.50,232.858310720805170457,202690,1477,47198051.00,29428,14.52,3.95,2.85
9-July-2019,234.85,235.25,228.40,229.50,231.414133359912289444,220726,1950,51079116.00,70696,32.03,6.85,-5.35
8-July-2019,241.00,241.45,230.55,232.45,235.017830907475741424,234144,2919,55028015.00,61931,26.45,10.90,-8.55
5-July-2019,253.55,253.55,240.90,241.90,245.227361394567411232,266061,2688,65245437.00,98042,36.85,12.65,-11.65
4-July-2019,253.40,253.40,249.50,251.20,251.178402323892519970,68850,737,17293633.00,17728,25.75,3.90,-2.20
3-July-2019,254.45,254.45,250.40,251.00,252.393721745089586718,904710,949,228343124.00,852210,94.20,4.05,-3.45
2-July-2019,248.80,252.90,247.15,252.60,251.059973692917261803,123921,1495,31111603.00,21877,17.65,5.75,3.80
1-July-2019,253.00,256.35,248.20,249.15,251.048829220057697992,196194,1762,49254274.00,55012,28.04,8.15,-3.85
28-June-2019,261.70,261.70,253.00,253.75,255.093302021090427702,110287,1069,28133475.00,36655,33.24,8.70,-7.95
27-June-2019,259.00,261.65,258.00,259.60,260.008039240941095655,93168,1314,24224429.00,21896,23.50,3.65,0.60
26-June-2019,255.30,263.05,255.30,260.40,261.692162474036464343,216650,1532,56695607.00,100117,46.21,7.75,5.10
25-June-2019,257.00,258.85,254.15,258.35,258.040252595199674726,78703,1080,20308542.00,26020,33.06,4.70,1.35
24-June-2019,255.50,258.10,253.45,256.85,256.675153252437996920,103261,1013,26504533.00,37795,36.60,4.65,1.35
21-June-2019,260.30,265.00,252.20,254.40,258.816619040797400306,265262,2784,68654214.00,77781,29.32,12.80,-5.90
20-June-2019,258.90,261.10,255.00,260.30,259.762434215402861166,107928,1608,28035640.00,48951,45.36,6.10,1.40
19-June-2019,260.00,262.40,255.30,257.35,258.096361208088286979,213395,1879,55076473.00,116909,54.79,7.10,-2.65
18-June-2019,255.50,261.00,255.50,260.35,258.937132138646752301,228177,3030,59083498.00,63477,27.82,5.50,4.85
17-June-2019,255.90,257.65,250.85,255.20,255.083088571971008342,179086,1512,45681810.00,44813,25.02,6.80,-0.70
14-June-2019,257.00,257.00,253.70,254.95,255.649109515222007619,93713,853,23957645.00,25556,27.27,3.30,-2.05
13-June-2019,257.30,258.70,253.70,255.50,255.565575969468555554,115553,1211,29531369.00,28712,24.85,5.00,-1.80
12-June-2019,258.75,259.00,255.60,256.90,256.809924129379374119,95162,1302,24438546.00,22907,24.07,3.40,-1.85
11-June-2019,260.15,262.45,257.60,258.75,258.335900711112805749,524530,1320,135504930.00,27315,5.21,4.85,-1.40
10-June-2019,268.80,268.80,258.10,260.00,261.607769345783846305,177235,3415,46366053.00,56387,31.81,10.70,-8.80
7-June-2019,269.40,269.40,263.40,265.00,266.078691758992259826,158136,1862,42076620.00,39842,25.19,6.00,-4.40
6-June-2019,263.65,270.90,263.60,268.30,267.133752843695865422,383304,5672,102393436.00,123774,32.29,7.30,4.65
4-June-2019,259.75,264.00,258.15,263.25,262.070693588576444175,275711,3265,72255773.00,102604,37.21,5.85,3.50
3-June-2019,254.80,261.30,253.50,260.55,258.093447011388085374,361606,6072,93328139.00,133917,37.03,7.80,5.75
31-May-2019,260.00,263.30,252.00,253.35,257.166766645205873040,1228597,9465,315954318.00,352008,28.65,11.30,-6.65
30-May-2019,252.00,255.40,249.85,252.90,253.185387435780276604,358924,3583,90874312.00,95404,26.58,5.55,0.90
29-May-2019,250.70,251.70,247.55,251.00,250.036535102383906056,320021,1098,80016942.00,228870,71.52,4.15,0.30
28-May-2019,244.20,251.65,244.20,250.70,249.156387366174040455,213617,3316,53224040.00,53219,24.91,7.45,6.50
27-May-2019,244.60,246.35,243.30,244.05,244.731372599363253568,77896,849,19063595.00,20812,26.72,3.05,-0.55
24-May-2019,244.00,245.70,241.40,244.60,243.875488634718401621,96698,1929,23582272.00,17374,17.97,4.30,0.60
23-May-2019,242.10,245.00,239.90,244.05,242.635092025866730107,184948,5052,44874875.00,50821,27.48,5.10,1.95
22-May-2019,238.20,241.50,237.10,240.30,239.521994207901484536,120509,1752,28864556.00,24976,20.73,4.40,2.10
21-May-2019,239.95,241.40,234.55,237.30,237.638520113837397123,130010,2019,30895384.00,28898,22.23,6.85,-2.65
20-May-2019,239.30,243.05,236.40,238.25,238.598677377368165025,152122,1647,36296108.00,46856,30.80,6.65,-1.05
17-May-2019,233.00,238.00,232.50,236.40,235.516782212992089912,261944,3879,61692208.00,89751,34.26,5.50,3.40
16-May-2019,235.50,236.85,229.85,232.55,232.014479917782809588,119683,1586,27768189.00,27857,23.28,7.00,-2.95
15-May-2019,242.30,242.30,233.85,235.60,237.631829283969661910,108906,1310,25879532.00,31354,28.79,8.45,-6.70
14-May-2019,242.00,243.80,239.10,242.25,241.023314419878693015,127775,909,30796754.00,40470,31.67,4.70,0.25
13-May-2019,240.25,243.00,237.85,242.10,241.369407730110676282,121887,1180,29419793.00,40232,33.01,5.15,1.85
10-May-2019,242.60,244.95,240.35,241.55,242.350440999947810657,95805,1264,23218384.00,19302,20.15,4.60,-1.05
9-May-2019,249.40,250.60,241.55,242.60,244.330834488414116417,137797,1839,33668056.00,35559,25.81,9.05,-6.80
8-May-2019,250.00,252.15,248.10,248.90,249.794167592344326553,78321,864,19564129.00,25583,32.66,4.05,-1.10
7-May-2019,250.00,255.25,248.05,249.20,252.653405346551674737,69802,953,17635713.00,19464,27.88,7.20,-0.80
6-May-2019,251.80,252.80,248.05,251.20,250.370242555708933149,70994,1006,17774785.00,24520,34.54,4.75,-0.60
3-May-2019,254.00,255.75,251.05,251.80,253.391230421025369621,88807,1113,22502915.00,30771,34.65,4.70,-2.20
2-May-2019,252.00,254.50,250.70,251.85,252.290009369324100099,764196,1353,192799016.00,42927,5.62,3.80,-0.15
30-April-2019,250.30,253.75,246.60,251.95,249.370648749487177502,129187,2020,32215446.00,46514,36.01,7.15,1.65
26-April-2019,253.55,255.35,249.25,250.15,253.052407729383542047,181748,912,45991769.00,116727,64.22,6.10,-3.40
25-April-2019,255.75,255.75,248.65,251.45,251.869281011380129998,190156,2052,47894455.00,71885,37.80,7.10,-4.30
24-April-2019,256.95,258.20,253.50,254.20,256.627971956919325340,629888,1871,161646880.00,528253,83.86,4.70,-2.75
23-April-2019,250.50,256.00,250.50,255.35,254.475530994479850846,164126,6389,41766051.00,70463,42.93,5.50,4.85
22-April-2019,251.75,252.25,248.85,251.70,250.979294304146986401,153919,1831,38630482.00,60524,39.32,3.40,-0.05
18-April-2019,251.15,252.70,249.60,251.75,251.443749505185654342,138941,1941,34935846.00,36659,26.38,3.10,0.60
16-April-2019,250.10,256.80,248.25,251.20,251.788779603394500804,459449,4981,115684103.00,57793,12.58,8.55,1.10
15-April-2019,242.25,251.85,242.25,250.10,248.361913682307234950,613895,5382,152468137.00,257500,41.95,9.60,7.85
12-April-2019,241.95,241.95,239.15,239.80,240.301453132485229147,93935,988,22572717.00,29540,31.45,2.80,-2.15
11-April-2019,239.55,241.20,238.50,240.45,240.299557357382203284,120865,1219,29043806.00,48861,40.43,2.70,0.90
10-April-2019,238.55,242.65,238.55,239.55,240.403449175783038201,233737,2391,56191181.00,91958,39.34,4.10,1.00
9-April-2019,233.30,239.00,232.30,238.25,237.009210305835312335,173067,1904,41018473.00,64012,36.99,6.70,4.95
8-April-2019,235.00,236.10,232.00,233.30,234.221210698200601933,93698,956,21946059.00,26302,28.07,4.10,-1.70
5-April-2019,235.00,236.00,234.00,234.45,234.610150197946992515,99269,1005,23289515.00,39675,39.97,2.00,-0.55
4-April-2019,233.70,235.45,233.10,234.75,234.309059389888004789,80182,1101,18787369.00,24128,30.09,2.35,1.05
3-April-2019,237.75,237.75,233.40,234.70,235.511168425912658610,125622,1224,29585384.00,42781,34.06,4.35,-3.05
2-April-2019,238.05,239.45,235.85,236.50,237.312917187995761519,167041,1472,39640987.00,42923,25.70,3.60,-1.55
1-April-2019,237.00,237.95,232.05,236.40,235.200153436821572564,306315,2859,72045335.00,44563,14.55,5.90,-0.60
29-March-2019,237.00,238.90,233.75,236.80,235.693624977978507022,249756,2066,58865897.00,59041,23.64,5.15,-0.20
28-March-2019,233.60,237.25,232.90,235.55,235.050082106006271773,195479,1691,45947355.00,36043,18.44,4.35,1.95
27-March-2019,236.60,238.05,233.05,234.50,235.762610746444297613,207343,1696,48883727.00,57963,27.96,5.00,-2.10
26-March-2019,236.10,242.30,234.80,236.60,239.023950663311274738,321870,3636,76934639.00,73193,22.74,7.50,0.50
25-March-2019,232.15,238.50,231.50,236.80,234.389394074572269766,291422,2721,68306226.00,79725,27.36,7.00,4.65
22-March-2019,232.60,233.80,230.15,231.95,231.725942299630321277,236151,2531,54722313.00,58716,24.86,3.65,-0.65
20-March-2019,243.10,244.00,236.20,237.20,238.476428971068637536,443256,3467,105706108.00,125031,28.21,7.80,-5.90
