Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,1001.00,1037.30,1001.00,1034.55,1020.773037141513869299,25524,1054,26054211.00,5484,21.49,36.30,33.55
30-July-2019,1016.00,1026.00,1011.90,1023.85,1017.630876021439240839,56905,1063,57908285.00,6579,11.56,14.10,7.85
29-July-2019,1007.85,1023.45,1004.95,1015.45,1013.775711379201650571,34897,1911,35377731.00,6578,18.85,18.50,7.60
26-July-2019,1002.05,1012.05,998.55,1001.45,1004.031139419674451521,24021,940,24117832.00,7782,32.40,13.50,-0.60
25-July-2019,1022.00,1026.80,1003.30,1011.90,1014.710097262045313993,35574,1271,36097297.00,8110,22.80,23.50,-10.10
24-July-2019,1011.00,1024.35,1001.70,1021.15,1014.130871094558245396,19332,739,19605178.00,3275,16.94,22.65,10.15
23-July-2019,1023.05,1026.10,1008.00,1011.65,1015.774196884760978838,48343,909,49105572.00,4773,9.87,18.10,-11.40
22-July-2019,1016.20,1027.00,1003.10,1018.80,1016.652967863894139886,26450,910,26890471.00,7680,29.04,23.90,2.60
19-July-2019,1030.00,1030.40,1010.00,1016.05,1017.383525764378875347,18708,844,19033211.00,4818,25.75,20.40,-13.95
18-July-2019,1041.00,1041.00,1015.65,1018.30,1022.959015116097865045,25668,811,26257312.00,3949,15.38,25.35,-22.70
17-July-2019,1020.05,1043.25,1020.05,1040.65,1037.968225098962233871,28041,998,29105667.00,5727,20.42,23.20,20.60
16-July-2019,1020.00,1031.55,1013.50,1020.00,1019.093455356456202414,65015,1166,66256361.00,6145,9.45,18.05,0.00
15-July-2019,1032.00,1037.20,1020.00,1027.30,1027.746368276403612092,20376,1420,20941360.00,6263,30.74,17.20,-4.70
12-July-2019,1022.65,1029.20,1009.10,1023.50,1019.228250663400694019,24495,851,24965996.00,5309,21.67,20.10,0.85
11-July-2019,1032.60,1032.60,1015.25,1021.20,1020.474542489581445914,22076,966,22527996.00,4310,19.52,17.35,-11.40
10-July-2019,1020.00,1034.45,1013.40,1018.90,1021.390157566644738902,31923,1305,32605838.00,6534,20.47,21.05,-1.10
9-July-2019,1036.35,1047.90,1008.60,1020.70,1025.746403034530868503,45872,1775,47053039.00,10294,22.44,39.30,-15.65
8-July-2019,1017.00,1046.00,1012.15,1038.50,1036.280396580864811535,123657,1807,128143325.00,87084,70.42,33.85,21.50
5-July-2019,1045.00,1048.75,1013.45,1016.60,1030.207168917139955617,26587,1683,27390118.00,6363,23.93,35.30,-28.40
4-July-2019,1056.95,1056.95,1034.05,1040.45,1040.070527119938884644,65450,2298,68072616.00,8608,13.15,22.90,-16.50
3-July-2019,1069.80,1069.80,1048.35,1052.55,1055.314244101369064957,17165,1377,18114469.00,3903,22.74,21.45,-17.25
2-July-2019,1049.30,1064.90,1043.90,1060.25,1052.591843848030672708,22952,927,24159088.00,8977,39.11,21.00,10.95
1-July-2019,1073.95,1073.95,1046.80,1049.30,1054.939901729671390837,35209,1221,37143379.00,17195,48.84,27.15,-24.65
28-June-2019,1071.90,1075.80,1058.90,1064.50,1066.542505592841163310,34866,1548,37186071.00,5245,15.04,16.90,-7.40
27-June-2019,1078.00,1083.40,1060.05,1064.00,1067.329438371654730493,31836,1147,33979500.00,15285,48.01,23.35,-14.00
26-June-2019,1070.00,1092.40,1070.00,1080.40,1082.814378757515030060,35928,1043,38903355.00,17099,47.59,22.40,10.40
25-June-2019,1084.00,1084.00,1060.95,1079.75,1075.494038266013494777,21638,882,23271540.00,11970,55.32,23.05,-4.25
24-June-2019,1073.30,1083.40,1068.55,1078.55,1074.830594643667725828,11015,492,11839259.00,2406,21.84,14.85,5.25
21-June-2019,1090.00,1092.85,1071.55,1076.40,1081.571563652409619566,31727,1485,34315021.00,13231,41.70,21.30,-13.60
20-June-2019,1078.00,1089.75,1066.60,1087.65,1084.295527156549520766,13146,468,14254149.00,2586,19.67,23.15,9.65
19-June-2019,1090.00,1095.80,1078.30,1085.20,1084.864227526082606831,13994,641,15181590.00,3392,24.24,17.50,-4.80
18-June-2019,1073.50,1094.00,1073.50,1087.70,1082.793170674071010811,16927,809,18328440.00,5981,35.33,20.50,14.20
17-June-2019,1086.00,1089.35,1070.00,1073.95,1078.839906996406679348,23655,725,25519958.00,8140,34.41,19.35,-12.05
