Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,2250.00,2266.80,2234.10,2251.80,2249.114735554876184653,98130,8396,220705629.00,48569,49.49,32.70,1.80
30-July-2019,2254.00,2270.30,2240.30,2253.35,2257.983754453633184061,61186,3589,138156994.00,22461,36.71,30.00,-0.65
29-July-2019,2278.35,2278.35,2223.10,2244.60,2246.977247923834073026,96211,7368,216183928.00,43950,45.68,55.25,-33.75
26-July-2019,2285.00,2293.40,2273.15,2276.30,2284.803384213377521430,94143,5992,215098245.00,47815,50.79,20.25,-8.70
25-July-2019,2285.00,2315.45,2280.45,2285.80,2297.277686029764762361,104150,4885,239261471.00,47212,45.33,35.00,0.80
24-July-2019,2263.00,2292.75,2250.00,2279.80,2269.183395420869783600,191128,8032,433704484.00,117411,61.43,42.75,16.80
23-July-2019,2297.05,2297.10,2242.05,2263.95,2260.708551702853615742,174971,9616,395558436.00,59292,33.89,55.05,-33.10
22-July-2019,2353.00,2353.75,2281.90,2297.05,2298.908458594705487828,253470,13410,582704327.00,117614,46.40,71.85,-55.95
19-July-2019,2424.00,2424.40,2368.10,2375.95,2385.038516284807524013,94843,6438,226204208.00,44934,47.38,56.30,-48.05
18-July-2019,2400.00,2429.35,2400.00,2403.90,2406.893934991416954657,1455777,12862,3503900832.00,846600,58.15,29.35,3.90
17-July-2019,2398.80,2411.50,2391.00,2397.70,2401.075464407226939860,106103,3928,254761310.00,68573,64.63,20.50,-1.10
16-July-2019,2414.80,2418.40,2382.55,2392.15,2395.419616234964808016,98602,5184,236193165.00,50261,50.97,35.85,-22.65
15-July-2019,2412.90,2412.90,2377.75,2396.10,2390.411380265681608297,42231,3099,100949463.00,24830,58.80,35.15,-16.80
12-July-2019,2415.25,2418.30,2386.70,2393.45,2399.147114939870490286,69184,3937,165982594.00,31622,45.71,31.60,-21.80
11-July-2019,2397.00,2413.55,2395.85,2407.80,2407.374629080118694362,70096,3480,168747332.00,29306,41.81,17.70,10.80
10-July-2019,2384.90,2397.15,2365.45,2386.25,2387.056518469525509418,110371,5009,263461815.00,56872,51.53,31.70,1.35
9-July-2019,2408.80,2410.55,2372.40,2379.00,2388.010529185265955634,234776,14085,560647560.00,147567,62.85,38.15,-29.80
8-July-2019,2472.40,2472.40,2397.75,2407.85,2428.666196309221187552,381979,6711,927699485.00,303876,79.55,74.65,-64.55
5-July-2019,2492.00,2495.00,2460.35,2475.40,2476.356556093565560935,83022,3613,205592074.00,36123,43.51,34.65,-16.60
4-July-2019,2499.90,2499.90,2472.60,2483.65,2483.089144432286844541,95048,4386,236012657.00,36603,38.51,27.30,-16.25
3-July-2019,2495.15,2502.90,2484.25,2489.50,2495.972467227448527628,78343,3616,195541971.00,31355,40.02,18.65,-5.65
2-July-2019,2490.00,2497.00,2466.20,2494.35,2483.342674831004274151,65978,3473,163845983.00,24656,37.37,30.80,4.35
1-July-2019,2451.10,2489.00,2451.10,2485.65,2477.394674517500817795,76425,4210,189334888.00,34117,44.64,37.90,34.55
28-June-2019,2462.00,2473.85,2438.00,2446.40,2453.437403352508195707,64668,3956,158658890.00,28506,44.08,35.85,-15.60
27-June-2019,2467.00,2494.00,2456.65,2466.45,2475.628010222164188848,107218,7218,265431884.00,38192,35.62,37.35,-0.55
26-June-2019,2428.50,2470.00,2422.45,2467.10,2432.788724331511301521,324912,3058,790442250.00,31952,9.83,47.55,38.60
