Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,2266.10,2369.00,2228.25,2356.20,2314.707277579266362114,110545,7219,255879316.00,8094,7.32,140.75,90.10
30-July-2019,2400.00,2416.25,2246.10,2259.35,2319.172796380867847274,69851,6561,161996539.00,24317,34.81,170.15,-140.65
29-July-2019,2439.70,2444.00,2339.00,2403.75,2397.384151055605114481,33630,2745,80624029.00,6544,19.46,105.00,-35.95
26-July-2019,2399.65,2486.90,2368.00,2468.05,2443.365904941072317822,36146,2722,88317904.00,4827,13.35,118.90,68.40
25-July-2019,2401.00,2447.00,2381.00,2386.10,2408.529196364349702478,15293,1169,36833637.00,2409,15.75,66.00,-14.90
24-July-2019,2475.00,2493.10,2397.30,2404.30,2432.106853487663722205,16415,2222,39923034.00,4471,27.24,95.80,-70.70
23-July-2019,2430.00,2480.00,2403.95,2469.30,2451.658631249109813416,28084,3732,68852381.00,8908,31.72,76.05,39.30
22-July-2019,2398.00,2452.85,2363.45,2404.90,2413.061788008063381932,21331,1888,51473021.00,3011,14.12,89.40,6.90
19-July-2019,2495.00,2503.30,2379.20,2387.65,2421.049465025001344158,37198,2640,90058198.00,6926,18.62,124.10,-107.35
18-July-2019,2540.80,2553.20,2470.00,2479.70,2517.830317324185248713,23320,1650,58715803.00,4189,17.96,83.20,-61.10
17-July-2019,2540.00,2556.30,2508.80,2522.15,2533.180353732458689695,12043,1058,30507091.00,2591,21.51,47.50,-17.85
16-July-2019,2533.95,2567.70,2491.20,2542.45,2538.824316182672611157,24897,1855,63209109.00,2876,11.55,76.50,8.50
15-July-2019,2570.10,2580.00,2515.00,2546.05,2545.866534786817627004,23759,2162,60487243.00,4343,18.28,65.00,-24.05
12-July-2019,2520.00,2583.00,2473.25,2569.05,2540.374045801526717557,28296,2617,71882424.00,5698,20.14,109.75,49.05
11-July-2019,2424.00,2519.20,2387.15,2507.25,2469.091069515346316253,31734,2816,78354136.00,5387,16.98,132.05,83.25
10-July-2019,2440.00,2454.20,2393.00,2400.15,2416.439900278981421024,16847,1783,40709763.00,2935,17.42,61.20,-39.85
9-July-2019,2390.00,2456.45,2374.05,2441.20,2416.175387596899224806,31992,2944,77298283.00,7867,24.59,82.40,51.20
8-July-2019,2513.00,2513.00,2360.00,2380.20,2402.100809498111171073,74120,7067,178043712.00,19125,25.80,153.00,-132.80
5-July-2019,2609.55,2609.55,2500.00,2513.60,2551.443263710760962501,24561,2104,62665998.00,8418,34.27,109.55,-95.95
4-July-2019,2587.00,2617.45,2585.20,2605.85,2600.167698658410732714,9690,814,25195625.00,1811,18.69,32.25,18.85
3-July-2019,2620.00,2620.00,2582.80,2587.05,2592.288295929018789144,15328,1459,39734595.00,3969,25.89,37.20,-32.95
2-July-2019,2600.00,2617.00,2571.75,2597.65,2592.581807204668947474,24845,1432,64412695.00,6159,24.79,45.25,-2.35
1-July-2019,2594.20,2639.00,2579.65,2617.70,2620.043000306779834338,19558,1467,51242801.00,3520,18.00,59.35,23.50
28-June-2019,2610.00,2610.00,2573.65,2584.00,2586.296237748972494467,9489,1032,24541365.00,2639,27.81,36.35,-26.00
27-June-2019,2585.00,2616.60,2573.75,2598.10,2598.487630794816714018,14431,1298,37498775.00,4079,28.27,42.85,13.10
26-June-2019,2583.00,2603.30,2559.00,2574.10,2580.294458529518290474,11044,1473,28496772.00,3512,31.80,44.30,-8.90
25-June-2019,2580.00,2603.60,2546.65,2583.30,2587.399143792495593049,15884,1767,41098248.00,3113,19.60,56.95,3.30
24-June-2019,2600.00,2604.20,2541.35,2585.35,2562.301113457477442887,41672,2089,106776212.00,6060,14.54,62.85,-14.65
21-June-2019,2665.00,2699.00,2594.30,2605.50,2645.254136249163186585,31369,2144,82978977.00,7086,22.59,104.70,-59.50
20-June-2019,2640.00,2670.30,2600.30,2663.40,2637.677834298076360872,17103,1008,45112204.00,4141,24.21,70.00,23.40
19-June-2019,2673.75,2673.75,2575.00,2607.40,2617.962646847278830016,20855,1481,54597611.00,5279,25.31,98.75,-66.35
18-June-2019,2650.00,2682.00,2639.70,2667.55,2665.439331993624835423,14431,853,38464955.00,4199,29.10,42.30,17.55
17-June-2019,2675.00,2682.60,2633.50,2647.75,2653.739266955926010504,17516,1039,46482897.00,4334,24.74,49.10,-27.25
14-June-2019,2691.00,2712.35,2665.00,2673.20,2682.956896551724137931,8932,768,23964171.00,2969,33.24,47.35,-17.80
13-June-2019,2745.15,2763.90,2687.40,2707.70,2711.204254597847275192,35397,2285,95968497.00,5871,16.59,76.50,-37.45
12-June-2019,2766.00,2766.55,2724.75,2732.90,2738.063085728662180011,31798,1259,87064930.00,3217,10.12,41.80,-33.10
11-June-2019,2764.70,2791.50,2748.10,2775.90,2773.781343393268335701,20411,1335,56615651.00,4162,20.39,43.40,11.20
10-June-2019,2777.45,2790.00,2722.95,2748.95,2753.999002945841830953,22065,1729,60766988.00,4126,18.70,67.05,-28.50
