Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,1720.00,1752.20,1701.50,1725.95,1731.114991098432037064,46621,2919,80706312.00,14818,31.78,50.70,5.95
30-July-2019,1713.00,1734.00,1704.35,1719.45,1719.840477839335180055,28880,1930,49668993.00,11918,41.27,29.65,6.45
29-July-2019,1730.65,1739.50,1701.20,1713.05,1715.430764783348858124,31133,1817,53406506.00,9004,28.92,38.30,-17.60
26-July-2019,1734.50,1741.00,1719.70,1730.65,1730.405330312103800814,37071,1656,64147856.00,13147,35.46,21.30,-3.85
25-July-2019,1734.00,1749.50,1728.30,1736.00,1739.224813468528792806,52270,2701,90909281.00,11696,22.38,21.20,2.00
24-July-2019,1694.70,1731.95,1679.70,1728.00,1708.837385197190707725,114762,5601,196109596.00,31839,27.74,52.25,33.30
23-July-2019,1680.00,1701.70,1667.95,1693.20,1689.796074993256002158,74140,3443,125281481.00,22946,30.95,33.75,13.20
22-July-2019,1724.70,1724.80,1660.00,1678.75,1683.236581811416700257,64502,3628,108572126.00,26836,41.60,64.80,-45.95
19-July-2019,1746.00,1761.00,1710.00,1724.80,1734.232466636920455928,49306,2451,85508066.00,13431,27.24,51.00,-21.20
18-July-2019,1762.50,1763.00,1717.40,1739.75,1737.396880454728550328,44686,2280,77637317.00,12173,27.24,45.60,-22.75
17-July-2019,1742.00,1764.50,1726.05,1760.80,1752.942413620430645968,29955,1624,52509390.00,8691,29.01,38.45,18.80
16-July-2019,1718.50,1750.25,1713.60,1741.80,1738.850292494026530444,36411,1847,63313278.00,16823,46.20,36.65,23.30
15-July-2019,1739.80,1739.80,1702.50,1716.50,1715.572042181778132657,36319,2315,62307861.00,12494,34.40,37.30,-23.30
12-July-2019,1737.90,1738.00,1709.00,1713.30,1722.808874249176516179,25805,1562,44457083.00,9104,35.28,29.00,-24.60
11-July-2019,1714.00,1742.00,1710.00,1729.70,1731.295204241291831867,65829,2738,113969432.00,44613,67.77,32.00,15.70
10-July-2019,1748.30,1754.00,1704.00,1717.85,1732.518589419060878369,63208,3279,109509035.00,35972,56.91,50.00,-30.45
9-July-2019,1756.00,1756.10,1724.95,1739.40,1743.399473742726902123,53966,4137,94084296.00,26073,48.31,31.15,-16.60
8-July-2019,1791.40,1791.40,1749.40,1753.30,1758.043076053950992161,42483,2647,74686944.00,22888,53.88,42.00,-38.10
5-July-2019,1800.00,1815.60,1785.85,1791.40,1803.856646754508817560,69974,3097,126223065.00,39577,56.56,29.75,-8.60
4-July-2019,1782.00,1797.80,1781.65,1792.20,1789.731995158361912447,49570,1998,88717015.00,26594,53.65,16.15,10.20
3-July-2019,1799.00,1799.00,1777.15,1784.90,1785.975406667261426829,100881,2040,180170985.00,78378,77.69,21.85,-14.10
2-July-2019,1791.00,1798.00,1770.10,1788.60,1785.560740257318664926,64356,2153,114911547.00,42193,65.56,27.90,-2.40
1-July-2019,1795.00,1796.75,1773.55,1779.50,1782.275823810052146898,36052,1858,64254608.00,20009,55.50,23.20,-15.50
28-June-2019,1780.00,1790.90,1763.50,1787.30,1780.131570226771202843,265554,2598,472721059.00,225809,85.03,27.40,7.30
27-June-2019,1761.00,1787.45,1760.15,1774.95,1778.749589167920379585,43205,2522,76850876.00,19194,44.43,27.30,13.95
26-June-2019,1756.00,1765.00,1746.50,1761.20,1756.761697698014257290,75891,2294,133322402.00,52933,69.75,18.50,5.20
25-June-2019,1779.50,1779.50,1746.00,1756.35,1754.393407360037207139,51603,3495,90531963.00,30713,59.52,33.50,-23.15
24-June-2019,1767.50,1777.35,1757.35,1763.70,1763.556120154690169979,44476,1628,78435922.00,25615,57.59,20.00,-3.80
21-June-2019,1811.00,1811.00,1760.00,1768.70,1783.211831258084121616,64169,2149,114426920.00,27128,42.28,51.00,-42.30
20-June-2019,1804.00,1809.15,1792.40,1805.50,1799.626073937579177703,43415,2427,78130766.00,27996,64.48,16.75,1.50
19-June-2019,1810.35,1823.65,1802.35,1811.50,1813.322878996799958373,76874,1940,139397383.00,47834,62.22,21.30,1.15
18-June-2019,1815.00,1819.35,1794.00,1807.45,1802.287850023730422401,117992,2389,212655548.00,90801,76.96,25.35,-7.55
17-June-2019,1825.25,1834.50,1805.00,1816.40,1816.588138334745436339,64915,1641,117923819.00,32373,49.87,29.50,-8.85
14-June-2019,1845.00,1853.00,1816.15,1824.95,1828.965189319538709865,51421,2052,94047219.00,27141,52.78,36.85,-20.05
