Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,11.00,11.00,9.87,10.51,10.506103286384976525,2130,6,22378.00,2073,97.32,1.13,-0.49
30-July-2019,13.09,13.09,10.84,10.85,10.885007278020378457,687,8,7478.00,586,85.30,2.25,-2.24
29-July-2019,11.99,12.00,11.50,11.93,11.924406047516198704,463,6,5521.00,459,99.14,0.50,-0.06
26-July-2019,12.69,12.69,10.50,11.02,10.882094470889783961,2731,56,29719.00,2062,75.50,2.19,-1.67
25-July-2019,12.69,12.69,11.14,11.56,12.404627539503386004,3544,54,43962.00,2251,63.52,1.55,-1.13
24-July-2019,11.25,12.02,11.25,11.56,11.422261484098939929,566,8,6465.00,300,53.00,0.77,0.31
22-July-2019,12.47,13.80,12.47,12.48,12.479076479076479076,1386,2,17296.00,1386,100.00,1.33,0.01
19-July-2019,13.90,13.90,13.85,13.85,13.850000000000000000,20,2,277.00,10,50.00,0.05,-0.05
18-July-2019,12.04,13.24,11.48,13.03,12.727634194831013916,1006,15,12804.00,886,88.07,1.76,0.99
17-July-2019,13.18,13.87,12.01,12.04,12.081250000000000000,640,11,7732.00,605,94.53,1.86,-1.14
16-July-2019,14.63,14.63,13.18,13.18,13.310344827586206896,29,2,386.00,29,100.00,1.45,-1.45
12-July-2019,14.64,14.64,14.64,14.64,14.638954869358669833,421,2,6163.00,421,100.00,0.00,0.00
11-July-2019,13.90,14.70,12.38,14.67,13.914285714285714285,35,6,487.00,32,91.43,2.32,0.77
9-July-2019,11.50,13.68,11.50,13.67,12.832256169212690951,3404,13,43681.00,2017,59.25,2.18,2.17
8-July-2019,12.50,13.79,12.46,12.63,12.506944444444444444,720,12,9005.00,596,82.78,1.33,0.13
5-July-2019,13.84,13.84,13.84,13.84,13.840000000000000000,2000,2,27680.00,2000,100.00,0.00,0.00
4-July-2019,12.61,13.85,12.61,13.85,12.945355191256830601,183,2,2369.00,133,72.68,1.24,1.24
3-July-2019,13.89,13.89,13.88,13.88,13.885416666666666666,96,2,1333.00,96,100.00,0.01,-0.01
2-July-2019,13.50,13.70,13.50,13.50,13.513242009132420091,2190,11,29594.00,2140,97.72,0.20,0.00
1-July-2019,12.98,13.49,12.30,13.45,12.441611842105263157,1216,12,15129.00,1158,95.23,1.19,0.47
28-June-2019,13.49,13.49,12.42,12.42,12.502411223147742218,2281,33,28518.00,1266,55.50,1.07,-1.07
26-June-2019,13.49,13.79,12.42,13.79,12.498789346246973365,413,6,5162.00,400,96.85,1.37,0.30
25-June-2019,13.50,13.97,12.82,13.78,13.453781512605042016,476,9,6404.00,457,96.01,1.15,0.28
24-June-2019,14.50,14.50,13.50,14.23,14.089700996677740863,301,6,4241.00,286,95.02,1.00,-0.27
21-June-2019,14.80,14.80,14.75,14.77,14.765886287625418060,299,2,4415.00,299,100.00,0.05,-0.03
20-June-2019,13.48,13.79,13.00,13.79,13.145454545454545454,55,4,723.00,50,90.91,0.79,0.31
19-June-2019,13.39,13.85,12.80,13.49,13.668831168831168831,308,12,4210.00,250,81.17,1.05,0.10
18-June-2019,13.98,13.98,12.75,13.88,13.300623052959501557,642,16,8539.00,420,65.42,1.23,-0.10
17-June-2019,14.00,14.00,13.45,13.90,13.910344827586206896,290,5,4034.00,250,86.21,0.55,-0.10
14-June-2019,13.75,13.75,13.67,13.68,13.714285714285714285,210,4,2880.00,205,97.62,0.08,-0.07
13-June-2019,13.49,13.49,12.50,12.50,12.520186335403726708,1288,14,16126.00,1228,95.34,0.99,-0.99
12-June-2019,13.65,13.65,13.49,13.49,13.485981308411214953,107,3,1443.00,107,100.00,0.16,-0.16
11-June-2019,13.60,14.29,13.00,13.49,13.300000000000000000,950,27,12635.00,759,79.89,1.29,-0.11
10-June-2019,13.60,14.00,13.60,14.00,13.833333333333333333,6,3,83.00,5,83.33,0.40,0.40
7-June-2019,11.30,14.40,11.30,13.79,13.861885790172642762,753,32,10438.00,697,92.56,3.10,2.49
6-June-2019,13.20,15.40,13.20,13.97,14.177551020408163265,490,21,6947.00,356,72.65,2.20,0.77
4-June-2019,13.50,14.45,13.10,13.99,13.264119601328903654,1204,15,15970.00,969,80.48,1.35,0.49
3-June-2019,14.57,14.57,13.86,13.86,13.869888475836431226,269,7,3731.00,268,99.63,0.71,-0.71
31-May-2019,14.45,15.00,13.50,13.86,13.977886977886977886,814,30,11378.00,572,70.27,1.50,-0.59
30-May-2019,18.43,18.43,14.15,14.25,14.380507841672890216,5356,49,77022.00,5042,94.14,4.28,-4.18
29-May-2019,14.70,15.38,14.51,15.38,14.532338308457711442,2010,5,29210.00,2010,100.00,0.87,0.68
28-May-2019,15.95,16.45,14.35,15.40,15.398120461341307133,4682,17,72094.00,4313,92.12,2.10,-0.55
27-May-2019,15.94,15.94,14.21,15.60,15.157480314960629921,127,8,1925.00,97,76.38,1.73,-0.34
24-May-2019,14.50,15.93,14.50,14.87,15.350531107738998482,1318,24,20232.00,1283,97.34,1.43,0.37
23-May-2019,15.40,15.40,12.06,13.80,13.450391644908616187,2298,29,30909.00,1000,43.52,3.34,-1.60
22-May-2019,14.85,15.10,14.25,14.26,14.506622516556291390,302,6,4381.00,201,66.56,0.85,-0.59
21-May-2019,15.64,15.64,15.00,15.00,15.231788079470198675,151,5,2300.00,101,66.89,0.64,-0.64
20-May-2019,16.40,16.40,14.26,14.51,15.048484848484848484,825,18,12415.00,802,97.21,2.14,-1.89
17-May-2019,16.72,16.72,14.23,14.23,14.900390625000000000,512,8,7629.00,481,93.95,2.49,-2.49
16-May-2019,13.71,16.80,13.71,14.12,14.142045454545454545,352,15,4978.00,319,90.62,3.09,0.41
15-May-2019,15.00,15.00,14.50,14.50,14.503410641200545702,733,4,10631.00,733,100.00,0.50,-0.50
14-May-2019,14.50,14.50,13.36,13.48,14.494023904382470119,502,4,7276.00,500,99.60,1.14,-1.02
13-May-2019,15.70,15.90,14.75,14.75,15.743243243243243243,74,5,1165.00,74,100.00,1.15,-0.95
10-May-2019,15.70,15.70,14.50,15.00,14.978646069968196274,2201,20,32968.00,2001,90.91,1.20,-0.70
9-May-2019,15.90,15.90,15.02,15.77,15.460000000000000000,150,7,2319.00,150,100.00,0.88,-0.13
7-May-2019,14.21,14.21,14.21,14.21,14.200000000000000000,80,1,1136.00,80,100.00,0.00,0.00
6-May-2019,14.35,15.60,14.35,15.49,14.767395626242544731,3521,17,51996.00,3201,90.91,1.25,1.14
3-May-2019,14.80,15.05,14.80,14.80,14.799307958477508650,867,5,12831.00,867,100.00,0.25,0.00
2-May-2019,16.20,16.60,15.05,15.05,15.726190476190476190,420,13,6605.00,220,52.38,1.55,-1.15
30-April-2019,15.00,16.50,14.00,15.00,15.136318407960199004,1005,18,15212.00,894,88.96,2.50,0.00
26-April-2019,15.05,15.15,15.00,15.00,15.105263157894736842,380,6,5740.00,315,82.89,0.15,-0.05
25-April-2019,16.00,16.00,15.50,15.50,15.500311526479750778,3210,10,49756.00,3210,100.00,0.50,-0.50
24-April-2019,16.00,16.00,15.40,15.70,15.835616438356164383,73,4,1156.00,53,72.60,0.60,-0.30
23-April-2019,15.80,15.80,15.65,15.65,15.681818181818181818,22,4,345.00,22,100.00,0.15,-0.15
22-April-2019,16.45,16.45,16.45,16.45,16.440000000000000000,25,1,411.00,25,100.00,0.00,0.00
18-April-2019,15.95,15.95,15.20,15.40,15.577777777777777777,135,8,2103.00,135,100.00,0.75,-0.55
16-April-2019,14.25,16.60,14.25,15.95,15.370514556533513879,5908,31,90809.00,5779,97.82,2.35,1.70
15-April-2019,16.70,16.70,15.60,15.60,15.837389380530973451,904,12,14317.00,813,89.93,1.10,-1.10
12-April-2019,15.80,16.75,15.25,16.75,15.519076305220883534,2988,15,46371.00,2888,96.65,1.50,0.95
11-April-2019,15.00,15.80,14.50,15.80,15.260482846251588310,787,18,12010.00,316,40.15,1.30,0.80
10-April-2019,14.75,16.65,14.65,15.25,15.532320441988950276,7240,33,112454.00,5043,69.65,2.00,0.50
9-April-2019,15.45,16.75,15.45,16.60,15.590281612368856985,1811,22,28234.00,1691,93.37,1.30,1.15
8-April-2019,14.35,16.85,14.35,16.00,15.927868852459016393,305,11,4858.00,203,66.56,2.50,1.65
5-April-2019,13.75,16.60,13.75,15.95,15.794173377546186641,4222,24,66683.00,2430,57.56,2.85,2.20
4-April-2019,12.35,15.95,12.35,15.95,14.764957264957264957,702,20,10365.00,99,14.10,3.60,3.60
3-April-2019,15.50,15.50,15.15,15.15,15.368451025056947608,1756,8,26987.00,1333,75.91,0.35,-0.35
2-April-2019,15.50,16.15,15.00,15.90,15.582154882154882154,2970,21,46279.00,1041,35.05,1.15,0.40
1-April-2019,16.00,16.40,14.45,16.00,15.637844611528822055,1596,24,24958.00,1027,64.35,1.95,0.00
29-March-2019,16.95,16.95,15.90,16.65,15.904506467745089822,35793,10,569270.00,35793,100.00,1.05,-0.30
28-March-2019,17.50,17.50,14.40,16.10,15.395464601769911504,1808,32,27835.00,1136,62.83,3.10,-1.40
27-March-2019,16.00,16.00,14.80,15.00,15.222906403940886699,2436,16,37083.00,2134,87.60,1.20,-1.00
26-March-2019,15.95,17.20,15.50,15.50,16.341507177033492822,1672,22,27323.00,1268,75.84,1.70,-0.45
25-March-2019,15.05,16.00,15.05,15.95,15.262195121951219512,164,6,2503.00,114,69.51,0.95,0.90
22-March-2019,17.95,17.95,15.70,16.00,16.363013698630136986,292,10,4778.00,236,80.82,2.25,-1.95
20-March-2019,17.00,17.00,16.25,16.35,16.491103202846975088,10678,13,176092.00,10678,100.00,0.75,-0.65
