Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,423.00,430.25,421.40,424.50,426.212380553793934204,6241094,7706,2660031531.00,5614240,89.96,8.85,1.50
30-July-2019,430.80,438.75,422.80,424.95,431.334656776953635025,899925,11699,388168841.00,201561,22.40,15.95,-5.85
29-July-2019,432.50,434.70,425.50,429.30,427.949530359343366104,3534085,25493,1512410016.00,2162129,61.18,9.20,-3.20
26-July-2019,409.30,419.40,408.70,415.50,414.425529808379181131,797930,8851,330682563.00,319052,39.98,10.70,6.20
25-July-2019,410.10,413.95,405.30,409.05,408.402603456882480022,727187,5760,296985064.00,299979,41.25,8.65,-1.05
24-July-2019,412.25,412.50,401.90,408.55,407.074533049011689404,591818,5808,240914036.00,268717,45.41,10.60,-3.70
23-July-2019,413.45,416.00,409.80,412.25,413.872846278287063723,537790,6077,222576678.00,304197,56.56,6.20,-1.20
22-July-2019,410.80,413.15,404.20,411.70,409.980794477003733553,585769,9448,240154040.00,254845,43.51,8.95,0.90
19-July-2019,419.50,420.05,408.55,410.10,415.931373295887389282,1758980,8526,731614967.00,1458162,82.90,11.50,-9.40
18-July-2019,425.80,425.90,417.70,418.70,421.374573917434667339,697048,4792,293718304.00,471608,67.66,8.20,-7.10
17-July-2019,424.05,426.90,422.65,424.70,425.058741979963454417,535222,5556,227500790.00,285017,53.25,4.25,0.65
16-July-2019,422.00,430.40,421.20,424.55,425.685367908137151618,2614158,6991,1112808810.00,2117170,80.99,9.20,2.55
15-July-2019,427.45,428.30,421.75,422.40,423.928624885300453158,460987,4735,195425585.00,280530,60.85,6.55,-5.05
12-July-2019,426.70,432.50,423.90,427.05,427.573583870145133214,360772,5747,154256577.00,151438,41.98,8.60,0.35
11-July-2019,431.35,432.80,425.00,426.70,427.122549580148779078,323567,4992,138202762.00,150058,46.38,7.80,-4.65
10-July-2019,429.15,432.80,427.30,430.95,430.172115595915701768,969273,8479,416954217.00,608595,62.79,5.50,1.80
9-July-2019,429.85,429.85,424.80,428.65,427.718949224967378367,348695,4352,149143459.00,134864,38.68,5.05,-1.20
8-July-2019,434.50,435.00,422.35,425.90,427.641959038290293855,561500,5216,240120960.00,217965,38.82,12.65,-8.60
5-July-2019,436.20,439.85,432.95,436.25,436.721655717849067681,1028726,8327,449266922.00,562551,54.68,6.90,0.05
4-July-2019,436.10,441.40,434.10,435.95,437.960177368465933316,257994,4360,112991098.00,69169,26.81,7.30,-0.15
3-July-2019,437.15,440.10,434.30,436.00,436.740742046444633584,198559,2231,86718805.00,41749,21.03,5.80,-1.15
2-July-2019,439.90,439.90,433.70,436.80,436.494794688325920195,186156,3684,81256125.00,60035,32.25,6.20,-3.10
1-July-2019,439.70,441.95,437.55,438.65,440.316321498085603815,265619,3573,116956381.00,78656,29.61,4.40,-1.05
