Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,1324.00,1418.80,1313.85,1413.00,1383.532152464563102287,323039,14596,446934843.00,71469,22.12,104.95,89.00
30-July-2019,1430.25,1447.00,1318.15,1336.90,1376.439086787935169263,262283,9435,361016573.00,44202,16.85,128.85,-93.35
29-July-2019,1429.95,1436.20,1401.00,1432.35,1422.139525222806093387,233499,10799,332068157.00,102452,43.88,35.20,2.40
26-July-2019,1392.00,1422.00,1387.40,1415.95,1405.475464741127669380,130180,5897,182964796.00,28110,21.59,34.60,23.95
25-July-2019,1363.00,1419.70,1363.00,1392.20,1399.683431022158684774,209850,11821,293723568.00,67721,32.27,56.70,29.20
24-July-2019,1407.80,1425.75,1354.50,1361.45,1380.590570590017024743,191486,9367,264363766.00,37248,19.45,71.25,-46.35
23-July-2019,1427.65,1432.55,1405.00,1416.20,1420.062673033328510104,103665,4199,147210797.00,27136,26.18,27.55,-11.45
22-July-2019,1425.00,1428.00,1382.20,1417.20,1407.317008019740900678,162100,6866,228126087.00,29506,18.20,45.80,-7.80
19-July-2019,1484.00,1487.20,1407.25,1421.45,1436.438344750972042214,183634,10223,263778919.00,39756,21.65,79.95,-62.55
18-July-2019,1493.00,1503.20,1467.90,1471.55,1483.286612739058231103,93335,3148,138442556.00,16063,17.21,35.30,-21.45
17-July-2019,1480.00,1508.00,1457.30,1500.70,1481.977597926193358514,233773,9669,346446349.00,74416,31.83,50.70,20.70
16-July-2019,1495.00,1495.00,1461.00,1473.40,1472.783168763897526772,117377,4420,172870870.00,16485,14.04,34.00,-21.60
15-July-2019,1526.25,1530.90,1466.70,1474.40,1494.860373300389226681,268738,11544,401725787.00,52170,19.41,64.20,-51.85
12-July-2019,1546.00,1562.00,1493.40,1510.35,1533.295870985506520814,479388,18682,735043641.00,65316,13.62,68.60,-35.65
11-July-2019,1500.00,1555.50,1495.05,1540.85,1530.297399866932801064,187875,8051,287504624.00,26977,14.36,60.45,40.85
10-July-2019,1500.00,1520.55,1469.45,1487.75,1494.191093722808397089,155149,6121,231822254.00,25396,16.37,51.10,-12.25
9-July-2019,1480.00,1508.80,1456.40,1492.40,1485.720389377310583817,120911,4887,179639938.00,21613,17.88,52.40,12.40
8-July-2019,1526.50,1544.60,1470.15,1475.95,1507.634908946396427987,171108,6135,257968394.00,28200,16.48,74.45,-50.55
5-July-2019,1499.90,1538.95,1485.05,1531.95,1518.596207473508087005,193644,8627,294067044.00,38554,19.91,53.90,32.05
4-July-2019,1470.20,1514.00,1468.60,1493.75,1500.178453246150787514,226345,10113,339557892.00,44872,19.82,45.40,23.55
3-July-2019,1423.00,1480.00,1423.00,1470.15,1456.099558790410089470,195372,8386,284481083.00,36037,18.45,57.00,47.15
2-July-2019,1440.25,1452.10,1411.05,1416.50,1428.842703447371010594,121948,3907,174244510.00,46953,38.50,41.05,-23.75
1-July-2019,1425.05,1441.00,1416.70,1433.20,1427.496446631793701594,103423,5450,147635965.00,30345,29.34,24.30,8.15
28-June-2019,1454.05,1459.85,1401.00,1410.10,1423.154367345818002086,145672,5531,207313743.00,35409,24.31,58.85,-43.95
27-June-2019,1440.80,1464.50,1436.15,1451.45,1452.067281592226070234,117521,6499,170648399.00,32049,27.27,28.35,10.65
26-June-2019,1430.00,1451.15,1427.75,1435.30,1439.112973110742959092,78470,2717,112927195.00,18649,23.77,23.40,5.30
25-June-2019,1451.00,1461.00,1443.30,1450.05,1452.420066922426366945,81587,2846,118498596.00,18798,23.04,17.70,-0.95
24-June-2019,1478.00,1485.00,1451.00,1460.70,1463.979834146403841358,156403,4897,228970838.00,20785,13.29,34.00,-17.30
21-June-2019,1441.00,1464.25,1419.60,1448.70,1446.071407883447819838,182991,5618,264618053.00,17074,9.33,44.65,7.70
20-June-2019,1385.00,1440.35,1348.70,1435.50,1407.688069484131644072,229923,7885,323659864.00,32313,14.05,91.65,50.50
19-June-2019,1420.50,1435.20,1371.00,1382.90,1404.369173234915929681,203758,6980,286151454.00,31622,15.52,64.20,-37.60
18-June-2019,1416.90,1444.90,1402.00,1408.55,1424.255694663999450157,276443,8963,393725517.00,39981,14.46,42.90,-8.35
17-June-2019,1432.90,1442.50,1395.75,1399.25,1410.792257781134169177,259538,7756,366154201.00,46103,17.76,46.75,-33.65
14-June-2019,1491.35,1495.10,1412.05,1425.10,1437.339389110821850172,445580,18024,640449685.00,82667,18.55,83.05,-66.25
13-June-2019,1525.00,1525.00,1441.10,1490.05,1477.940064756137745282,418802,14369,618964255.00,43435,10.37,83.90,-34.95
12-June-2019,1594.00,1601.75,1560.65,1567.75,1581.408228240645027909,120925,3918,191231790.00,21213,17.54,41.10,-26.25
11-June-2019,1565.00,1595.00,1561.40,1587.25,1581.177399132262341809,110863,4690,175294070.00,22514,20.31,33.60,22.25
10-June-2019,1569.75,1583.95,1537.00,1550.25,1560.476977452772699573,123075,6459,192055704.00,22104,17.96,46.95,-19.50
7-June-2019,1539.90,1560.00,1482.85,1550.90,1528.818531088889395078,263406,10198,402699974.00,28558,10.84,77.15,11.00
6-June-2019,1636.10,1636.10,1510.00,1522.05,1555.158625148798054278,233538,10074,363188635.00,53593,22.95,126.10,-114.05
4-June-2019,1663.85,1672.90,1630.00,1636.10,1654.292273520072747871,134162,5036,221943160.00,21871,16.30,42.90,-27.75
3-June-2019,1593.00,1667.35,1590.40,1663.85,1615.076234876461346989,686182,7819,1108236241.00,553636,80.68,76.95,70.85
31-May-2019,1595.00,1610.00,1556.00,1604.50,1592.354934346284395556,118729,4371,189058709.00,13365,11.26,54.00,9.50
30-May-2019,1607.85,1621.70,1580.00,1586.10,1601.851607361572844258,62867,2592,100703605.00,15489,24.64,41.70,-21.75
29-May-2019,1612.00,1629.00,1602.05,1607.85,1617.202675161756267437,50539,2057,81731806.00,8941,17.69,26.95,-4.15
28-May-2019,1620.00,1632.00,1596.55,1618.60,1618.093038990464801586,63554,2367,102836285.00,9436,14.85,35.45,-1.40
27-May-2019,1640.20,1645.00,1604.30,1610.75,1624.593900616834604038,130505,4726,212017627.00,23635,18.11,40.70,-29.45
24-May-2019,1604.00,1657.80,1595.50,1649.85,1629.598274014542671259,261300,11965,425814029.00,67361,25.78,62.30,45.85
23-May-2019,1550.90,1639.95,1544.65,1596.85,1603.817605847449854307,566948,20156,909281184.00,67546,11.91,95.30,45.95
22-May-2019,1454.00,1535.75,1385.50,1517.55,1475.857515195184427995,870177,26861,1284257265.00,165379,19.01,150.25,63.55
21-May-2019,1500.00,1515.00,1441.00,1447.55,1468.477409971493396939,171890,5529,252416582.00,24534,14.27,74.00,-52.45
