Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,792.00,799.45,781.75,794.00,791.124052717197233206,302444,7635,239270723.00,162186,53.63,17.70,2.00
30-July-2019,792.00,798.00,788.25,792.80,794.419013532577459637,267946,8017,212861397.00,153369,57.24,9.75,0.80
29-July-2019,787.55,796.85,786.40,791.55,791.312643906093355807,272313,8546,215484720.00,137185,50.38,10.45,4.00
26-July-2019,793.00,794.70,782.70,787.30,786.578730369839889508,293235,10435,230652414.00,181391,61.86,12.00,-5.70
25-July-2019,787.00,800.25,787.00,795.05,793.581108760619186729,327591,9010,259970029.00,179009,54.64,13.25,8.05
24-July-2019,789.50,793.30,783.65,786.05,787.054379142500571878,345353,7405,271811591.00,186105,53.89,9.65,-3.45
23-July-2019,785.45,804.25,785.45,789.90,796.615803475269646847,497688,10729,396466126.00,213410,42.88,18.80,4.45
22-July-2019,786.90,792.00,782.25,785.15,788.714865899233066682,333145,17084,262756414.00,191905,57.60,9.75,-1.75
19-July-2019,789.70,794.40,781.40,785.60,787.395772086605919663,205113,6584,161505109.00,89270,43.52,13.00,-4.10
18-July-2019,792.40,798.60,786.05,793.15,794.144047268784787576,248113,6837,197037462.00,94738,38.18,12.55,0.75
17-July-2019,784.70,795.00,777.00,794.30,789.692675623497892124,253810,7585,200431898.00,92541,36.46,18.00,9.60
16-July-2019,776.80,787.90,774.80,784.95,782.754291334426710676,388399,10030,304020984.00,115115,29.64,13.10,8.15
15-July-2019,762.00,781.40,754.50,779.45,769.309207266403708683,1168501,27634,898938578.00,394125,33.73,26.90,17.45
12-July-2019,723.30,730.85,719.35,727.10,724.091663594830378785,179046,5367,129645716.00,65558,36.62,11.50,3.80
11-July-2019,721.00,723.65,710.00,720.85,718.255981197099860970,220817,6262,158603131.00,96853,43.86,13.65,-0.15
10-July-2019,710.15,722.60,706.70,716.90,716.110148316552993396,230925,4680,165367736.00,105258,45.58,15.90,6.75
9-July-2019,717.90,719.70,708.90,715.40,712.480104990870359099,184016,4819,131107739.00,87989,47.82,10.80,-2.50
