Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,1475.00,1534.50,1475.00,1519.10,1489.285892347981645747,309683,2828,461206523.00,252908,81.67,59.50,44.10
30-July-2019,1505.00,1509.50,1484.45,1498.00,1499.746698454116255713,106541,3424,159784513.00,19582,18.38,25.05,-7.00
29-July-2019,1511.00,1524.90,1498.00,1503.10,1511.255743542286955822,99416,4090,150243001.00,33005,33.20,26.90,-7.90
26-July-2019,1485.90,1518.50,1477.15,1511.00,1497.908078409781723501,87183,2846,130592120.00,28676,32.89,41.35,25.10
25-July-2019,1498.70,1504.70,1480.45,1485.40,1491.678201395553097704,245924,5979,366839470.00,149437,60.77,24.25,-13.30
24-July-2019,1493.00,1509.85,1476.45,1497.60,1495.429269357437711453,155767,4793,232938531.00,73667,47.29,33.40,4.60
23-July-2019,1459.90,1511.75,1455.75,1493.70,1484.591557023767628951,264267,11494,392328557.00,21975,8.32,56.00,33.80
22-July-2019,1500.00,1500.00,1442.00,1453.65,1463.153546126897625535,128450,5577,187942073.00,23293,18.13,58.00,-46.35
19-July-2019,1537.60,1540.00,1490.30,1499.80,1509.622431506849315068,142496,5325,215115158.00,79259,55.62,49.70,-37.80
18-July-2019,1530.00,1543.30,1527.15,1537.60,1535.857113465692829955,48605,2044,74650335.00,8334,17.15,16.15,7.60
17-July-2019,1491.00,1546.80,1491.00,1532.90,1535.738441713011126951,233577,8520,358713178.00,110917,47.49,55.80,41.90
16-July-2019,1513.00,1513.00,1490.40,1502.50,1502.269215654882326400,68707,2795,103216411.00,35742,52.02,22.60,-10.50
15-July-2019,1497.95,1510.25,1480.00,1507.75,1502.897561459815372398,60446,2273,90844146.00,32620,53.97,30.25,9.80
12-July-2019,1481.05,1494.70,1475.90,1484.25,1485.091960222740498203,131633,2240,195487110.00,95419,72.49,18.80,3.20
11-July-2019,1478.50,1494.00,1472.40,1485.15,1487.610364715203022764,180497,3900,268509208.00,120208,66.60,21.60,6.65
10-July-2019,1466.65,1481.15,1461.25,1475.60,1475.308080462912338254,87792,2653,129520247.00,38741,44.13,19.90,8.95
9-July-2019,1475.00,1475.05,1439.85,1463.10,1457.387298400588904503,74715,3375,108888692.00,32473,43.46,35.20,-11.90
8-July-2019,1516.90,1516.90,1470.90,1475.50,1478.297832102565781933,122146,2762,180568167.00,71653,58.66,46.00,-41.40
5-July-2019,1502.00,1520.85,1500.45,1517.60,1513.740476264398149585,161045,4207,243780335.00,85328,52.98,20.40,15.60
4-July-2019,1480.00,1504.60,1476.10,1497.80,1497.434887450258359565,84185,2698,126061556.00,33955,40.33,28.50,17.80
3-July-2019,1480.00,1481.25,1463.00,1474.90,1472.717202472748362265,75867,2213,111730636.00,24686,32.54,18.25,-5.10
2-July-2019,1490.00,1490.00,1467.50,1470.95,1471.438434750733137829,54560,2051,80281681.00,22398,41.05,22.50,-19.05
1-July-2019,1483.00,1490.00,1469.70,1481.35,1482.704807017543859649,57000,1855,84514174.00,25899,45.44,20.30,-1.65
28-June-2019,1488.90,1488.90,1472.00,1476.60,1476.437291884969146582,85890,1834,126811199.00,23266,27.09,16.90,-12.30
27-June-2019,1499.00,1506.75,1478.10,1482.55,1494.556820272010213907,92423,2352,138131425.00,36620,39.62,28.65,-16.45
26-June-2019,1489.90,1495.80,1475.20,1491.10,1487.554383048438196427,83013,1975,123486352.00,27814,33.51,20.60,1.20
25-June-2019,1471.00,1491.20,1467.80,1484.20,1482.337241936668870766,68055,3443,100880461.00,28591,42.01,23.40,13.20
24-June-2019,1484.00,1496.25,1464.60,1471.15,1473.183179283477198075,91637,1987,134998087.00,23310,25.44,31.65,-12.85
21-June-2019,1519.00,1519.00,1484.00,1489.80,1499.072614107883817427,66998,1839,100434867.00,27666,41.29,35.00,-29.20
20-June-2019,1504.00,1519.80,1497.00,1517.65,1515.009913476406145478,91189,2438,138152239.00,36385,39.90,22.80,13.65
19-June-2019,1473.20,1503.85,1473.15,1498.40,1495.106401467606449744,113927,3796,170332987.00,44043,38.66,30.70,25.20
18-June-2019,1462.20,1473.75,1455.65,1462.65,1465.069819769890709171,90218,3154,132175669.00,40288,44.66,18.10,0.45
17-June-2019,1475.00,1477.80,1451.30,1459.35,1460.373693608306747116,118169,7409,172570899.00,56925,48.17,26.50,-15.65
14-June-2019,1502.00,1505.00,1466.65,1473.80,1477.330915857588701588,392834,3381,580345813.00,327575,83.39,38.35,-28.20
13-June-2019,1483.90,1509.05,1477.45,1505.45,1492.060445395343026252,128066,4230,191082213.00,43837,34.23,31.60,21.55
