Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,1378.00,1397.95,1368.00,1387.15,1384.686215950772684452,99782,4743,138166760.00,28277,28.34,29.95,9.15
30-July-2019,1375.20,1392.70,1373.00,1376.45,1383.457749800555532909,171727,10028,237577049.00,83307,48.51,19.70,1.25
29-July-2019,1395.00,1397.00,1361.20,1371.50,1374.039997518571938150,128958,6949,177193450.00,46424,36.00,35.80,-23.50
26-July-2019,1377.90,1396.80,1363.35,1391.85,1385.430642775481011492,184559,7892,255693694.00,52665,28.54,33.45,13.95
25-July-2019,1393.05,1403.00,1369.00,1372.95,1380.189882201516550547,178695,7637,246633031.00,70145,39.25,34.00,-20.10
24-July-2019,1410.00,1420.00,1374.00,1387.15,1379.016477733393694672,1753882,20095,2418632178.00,1113408,63.48,46.00,-22.85
23-July-2019,1411.20,1414.70,1386.50,1410.00,1401.904248687504261349,205334,8870,287858607.00,77820,37.90,28.20,-1.20
22-July-2019,1410.05,1418.80,1395.00,1403.80,1405.148006291620705151,97908,5429,137575231.00,34020,34.75,23.80,-6.25
19-July-2019,1445.00,1447.35,1402.00,1411.65,1414.913119424210415609,218691,10247,309428765.00,130503,59.67,45.35,-33.35
18-July-2019,1450.00,1454.95,1431.90,1433.60,1439.662112439983706285,299502,6793,431181682.00,224968,75.11,23.05,-16.40
17-July-2019,1469.60,1470.00,1452.50,1455.25,1463.800509356299618797,184154,3586,269564719.00,134437,73.00,17.50,-14.35
16-July-2019,1447.70,1464.00,1426.45,1461.50,1448.894326867976573199,205918,8138,298353422.00,92477,44.91,37.55,13.80
15-July-2019,1473.00,1473.10,1432.15,1440.25,1442.683800920995908905,350273,10108,505333183.00,216677,61.86,40.95,-32.75
12-July-2019,1501.70,1501.70,1462.00,1467.30,1472.401979913111221847,284962,8806,419578613.00,165473,58.07,39.70,-34.40
11-July-2019,1514.40,1514.40,1491.00,1495.00,1501.628558227150752607,281355,5978,422490703.00,202637,72.02,23.40,-19.40
10-July-2019,1526.60,1529.45,1483.45,1499.15,1501.490917537746806039,150675,6578,226237144.00,59157,39.26,46.00,-27.45
9-July-2019,1489.00,1538.00,1487.00,1526.60,1517.628111107825452681,202902,8924,307929779.00,49350,24.32,51.00,37.60
8-July-2019,1554.80,1554.80,1465.00,1490.20,1495.221163966642868183,271726,12377,406290466.00,107002,39.38,89.80,-64.60
5-July-2019,1582.70,1591.60,1546.05,1557.10,1567.038673268476062488,223979,10596,350983755.00,59771,26.69,45.55,-25.60
4-July-2019,1579.00,1590.75,1567.85,1571.80,1575.986034926456121573,254134,6326,400511635.00,170469,67.08,22.90,-7.20
3-July-2019,1566.00,1583.75,1560.25,1577.90,1577.065927471342506856,213295,6003,336380277.00,120310,56.41,23.50,11.90
2-July-2019,1558.30,1566.45,1553.30,1563.40,1561.529787833868371513,109961,3669,171707377.00,61746,56.15,13.15,5.10
1-July-2019,1562.00,1569.70,1553.55,1556.75,1558.962062230047594156,72698,2201,113333424.00,39989,55.01,16.15,-5.25
28-June-2019,1555.00,1573.00,1547.60,1553.05,1561.133053621425714448,122507,4573,191249727.00,36943,30.16,25.40,-1.95
27-June-2019,1560.00,1569.00,1541.40,1550.70,1557.246592076803127312,139161,5320,216707993.00,53184,38.22,27.60,-9.30
26-June-2019,1533.00,1563.65,1529.80,1550.85,1552.130049248567641616,236149,6781,366533959.00,118656,50.25,33.85,17.85
25-June-2019,1545.00,1551.60,1522.00,1535.05,1530.401166479730812369,156025,5021,238780842.00,77547,49.70,29.60,-9.95
24-June-2019,1542.50,1561.45,1538.00,1541.35,1544.035419674159620540,96980,3549,149740555.00,53068,54.72,23.45,-1.15
21-June-2019,1558.00,1570.00,1530.90,1540.00,1548.433509823283053559,117476,4126,181903775.00,34872,29.68,39.10,-18.00
20-June-2019,1514.00,1562.20,1508.05,1556.15,1535.863925109931074357,262892,6842,403766339.00,135375,51.49,54.15,42.15
19-June-2019,1510.00,1529.15,1496.50,1505.50,1507.381262069965727022,131007,3784,197477497.00,60473,46.16,32.65,-4.50
18-June-2019,1503.50,1519.00,1498.00,1504.95,1507.427008334424226556,91668,3322,138182819.00,32553,35.51,21.00,1.45
17-June-2019,1526.00,1536.00,1495.50,1499.00,1510.397972684906131929,136042,6838,205477561.00,60385,44.39,40.50,-27.00
14-June-2019,1520.20,1538.80,1514.35,1529.15,1530.155272868518158865,556092,4680,850907106.00,421323,75.76,24.45,8.95
13-June-2019,1511.00,1529.20,1504.65,1516.95,1520.145906979402232037,122489,4262,186201152.00,56593,46.20,24.55,5.95
12-June-2019,1526.00,1526.00,1504.00,1509.20,1511.514373188744507805,85576,2816,129349354.00,37285,43.57,22.00,-16.80
11-June-2019,1535.25,1539.90,1522.55,1524.70,1527.379405684426801273,78847,2582,120429284.00,35471,44.99,17.35,-10.55
10-June-2019,1527.00,1541.00,1522.30,1532.20,1532.642182872655478775,129664,3290,198728516.00,66381,51.19,18.70,5.20
7-June-2019,1519.90,1532.95,1495.00,1513.25,1514.394873568784807499,144545,5915,218898207.00,51567,35.68,37.95,-6.65
6-June-2019,1569.00,1571.30,1512.05,1516.50,1534.373141634382735905,214503,15674,329127642.00,101203,47.18,59.25,-52.50
4-June-2019,1559.80,1584.70,1559.55,1570.00,1572.575621327730898428,173258,8959,272461307.00,85522,49.36,25.15,10.20
3-June-2019,1565.00,1570.10,1546.85,1559.30,1556.199947537022169582,125803,4536,195774622.00,57995,46.10,23.25,-5.70
31-May-2019,1565.25,1580.75,1537.50,1557.95,1558.928682901635847171,178134,6622,277698202.00,55399,31.10,43.25,-7.30
30-May-2019,1550.00,1569.00,1541.10,1558.25,1558.535308598975690459,126329,4331,196888207.00,50005,39.58,27.90,8.25
29-May-2019,1573.65,1596.00,1547.70,1552.40,1564.176850273778873699,165462,7148,258811830.00,48567,29.35,48.30,-21.25
28-May-2019,1595.00,1606.70,1562.95,1573.65,1576.558053813268785635,217307,7547,342597101.00,68502,31.52,43.75,-21.35
27-May-2019,1543.65,1596.00,1533.30,1592.60,1576.634165230997803031,506152,17999,798016536.00,216081,42.69,62.70,48.95
24-May-2019,1491.00,1549.00,1491.00,1543.65,1526.633009089831970776,599241,16348,914821091.00,351225,58.61,58.00,52.65
23-May-2019,1473.30,1560.50,1466.40,1475.70,1515.349415641881583469,986467,40354,1494842192.00,350618,35.54,94.10,2.40
22-May-2019,1449.00,1473.15,1441.40,1460.55,1460.037228977214672524,244675,7829,357234609.00,105625,43.17,31.75,11.55
21-May-2019,1453.00,1462.20,1437.10,1448.20,1448.430142276256473610,244454,8783,354074542.00,114113,46.68,25.10,-4.80
20-May-2019,1396.60,1455.00,1396.60,1451.05,1433.335538637641052645,535527,17407,767589881.00,326348,60.94,58.40,54.45
17-May-2019,1338.00,1371.00,1333.20,1361.90,1356.489656289219059957,148206,6953,201039906.00,53329,35.98,37.80,23.90
16-May-2019,1325.20,1346.00,1308.80,1336.90,1322.457591744448953562,86245,3593,114055355.00,29392,34.08,37.20,11.70
15-May-2019,1343.50,1354.90,1321.50,1325.90,1338.575100040016006402,99960,3633,133803967.00,26066,26.08,33.40,-17.60
14-May-2019,1313.80,1345.60,1284.90,1341.50,1325.742747189226627228,192029,9759,254581054.00,76330,39.75,60.70,27.70
13-May-2019,1354.00,1354.95,1310.00,1317.20,1325.966981199343997337,210365,9358,278937044.00,83087,39.50,44.95,-36.80
10-May-2019,1364.40,1364.40,1345.80,1355.25,1354.406967966390967572,121872,4009,165064286.00,56170,46.09,18.60,-9.15
9-May-2019,1359.00,1368.00,1339.00,1356.70,1354.643027641773049067,122749,5025,166281077.00,48459,39.48,29.00,-2.30
8-May-2019,1361.05,1370.00,1355.05,1361.20,1364.223157983240380034,71362,2545,97353693.00,26492,37.12,14.95,0.15
7-May-2019,1360.00,1374.30,1350.00,1366.65,1370.174184522838023735,214445,4014,293827003.00,151308,70.56,24.30,6.65
6-May-2019,1360.00,1364.75,1348.00,1351.25,1356.582542264412564663,75004,2725,101749117.00,34106,45.47,16.75,-8.75
3-May-2019,1364.70,1373.20,1358.30,1361.00,1363.574547490203396155,80385,2075,109610940.00,35381,44.01,14.90,-3.70
2-May-2019,1352.50,1376.45,1342.10,1358.95,1362.631171476374066029,96229,3229,131124635.00,32949,34.24,34.35,6.45
30-April-2019,1362.00,1365.05,1340.10,1347.75,1349.689468824025374392,124535,4532,168083578.00,57053,45.81,24.95,-14.25
26-April-2019,1360.00,1366.85,1351.10,1355.50,1355.840496732184206866,165401,3310,224257374.00,102986,62.26,15.75,-4.50
25-April-2019,1365.00,1381.00,1352.95,1355.35,1367.203995917998986441,144047,7076,196941634.00,70775,49.13,28.05,-9.65
24-April-2019,1355.60,1363.20,1350.75,1360.35,1357.699873340543365439,551084,5728,748206677.00,479634,87.03,12.45,4.75
23-April-2019,1364.70,1365.00,1337.30,1348.05,1353.202306204368305331,226953,6572,307113323.00,153532,67.65,27.70,-16.65
22-April-2019,1361.00,1370.70,1353.45,1358.85,1363.630026907866658607,545937,3977,744456086.00,469197,85.94,17.25,-2.15
18-April-2019,1382.50,1387.00,1359.00,1360.75,1365.592800610367047533,108787,3720,148558744.00,56088,51.56,28.00,-21.75
16-April-2019,1357.00,1390.45,1357.00,1382.50,1384.438754787390749288,763725,9279,1057330488.00,560080,73.34,33.45,25.50
15-April-2019,1362.05,1367.60,1355.00,1357.85,1359.550300409830629865,75397,2803,102506014.00,34132,45.27,12.60,-4.20
12-April-2019,1384.00,1384.00,1357.00,1361.05,1361.859550072568940493,206700,6262,281496369.00,146656,70.95,27.00,-22.95
11-April-2019,1371.50,1386.50,1371.50,1377.80,1380.183488689663361633,67372,3033,92985722.00,30297,44.97,15.00,6.30
10-April-2019,1378.75,1382.00,1365.20,1369.85,1375.261202694791858701,309189,3842,425215636.00,221101,71.51,16.80,-8.90
9-April-2019,1375.00,1386.30,1366.60,1374.80,1373.762759125942870812,133767,2979,183764123.00,45660,34.13,19.70,-0.20
8-April-2019,1375.10,1386.65,1366.35,1372.75,1373.265316345420886420,183660,2650,252213908.00,127628,69.49,20.30,-2.35
5-April-2019,1376.30,1392.80,1368.95,1373.55,1373.623910212492220473,573621,4697,787939521.00,476780,83.12,23.85,-2.75
4-April-2019,1391.00,1393.30,1366.00,1368.95,1377.977088487527258148,102263,3949,140916071.00,34558,33.79,27.30,-22.05
3-April-2019,1411.90,1415.00,1376.00,1379.90,1390.573734183997885246,139969,4453,194637215.00,55167,39.41,39.00,-32.00
2-April-2019,1414.00,1427.00,1404.00,1409.70,1417.293896342615656834,174633,7265,247506285.00,66386,38.01,23.00,-4.30
1-April-2019,1387.00,1423.15,1387.00,1412.45,1413.608371075773454230,548675,8269,775611573.00,393986,71.81,36.15,25.45
29-March-2019,1389.30,1405.00,1380.00,1384.05,1395.445620661944466107,294919,5040,411543427.00,196727,66.71,25.00,-5.25
28-March-2019,1368.00,1390.00,1365.00,1384.05,1373.551409436341133332,172906,3955,237495280.00,77805,45.00,25.00,16.05
27-March-2019,1376.30,1390.75,1363.00,1367.80,1375.085573878507238684,109274,3427,150261101.00,45879,41.99,27.75,-8.50
26-March-2019,1378.50,1389.00,1366.70,1372.10,1375.746837537813846652,151069,3940,207832699.00,71666,47.44,22.30,-6.40
25-March-2019,1388.00,1391.30,1370.00,1377.20,1377.774429240384089791,109766,4228,151232788.00,50721,46.21,21.30,-10.80
22-March-2019,1375.55,1414.95,1375.55,1394.00,1402.687320785458769060,495914,9516,695612280.00,287264,57.93,39.40,18.45
20-March-2019,1364.80,1381.80,1361.25,1372.85,1374.743724809776107347,978058,6782,1344579098.00,766912,78.41,20.55,8.05
19-March-2019,1373.95,1376.95,1347.95,1356.75,1354.077126667553217368,308311,10808,417476873.00,154111,49.99,29.00,-17.20
18-March-2019,1397.35,1411.30,1370.25,1378.85,1386.656433186548560510,176903,6139,245303683.00,61623,34.83,41.05,-18.50
15-March-2019,1379.30,1408.90,1379.00,1397.35,1398.272411264818642780,452808,9141,633148934.00,242528,53.56,29.90,18.05
14-March-2019,1378.70,1395.00,1376.75,1379.30,1384.031791429544238533,102795,4111,142271548.00,37106,36.10,18.25,0.60
13-March-2019,1390.65,1397.00,1372.95,1378.70,1379.653298145492828254,419842,4294,579236400.00,307305,73.20,24.05,-11.95
12-March-2019,1352.00,1402.80,1352.00,1389.10,1389.302025216111132082,529820,19813,736079999.00,288296,54.41,50.80,37.10
11-March-2019,1341.00,1350.00,1340.05,1347.65,1345.445139397165480071,120232,4850,161765560.00,61201,50.90,9.95,6.65
8-March-2019,1351.20,1364.00,1336.00,1338.35,1349.113625913623706581,271857,5889,366765983.00,119029,43.78,28.00,-12.85
7-March-2019,1316.00,1357.00,1310.40,1351.25,1345.312710476277748505,349208,15579,469793961.00,117420,33.62,46.60,35.25
6-March-2019,1307.00,1326.40,1307.00,1314.95,1317.859060708524348119,109721,3500,144596814.00,39882,36.35,19.40,7.95
5-March-2019,1309.00,1312.00,1276.35,1306.65,1298.555098947859287109,205866,6820,267328344.00,106608,51.79,35.65,-2.35
1-March-2019,1300.00,1312.15,1296.75,1308.65,1304.730651972629344414,177124,5305,231099112.00,74862,42.27,15.40,8.65
28-February-2019,1290.30,1301.00,1274.95,1294.50,1287.386230428723665874,97592,3426,125638597.00,44741,45.84,26.05,4.20
27-February-2019,1269.00,1294.90,1268.45,1282.95,1283.414946444175836826,191109,7252,245272147.00,73265,38.34,26.45,13.95
26-February-2019,1268.00,1274.00,1253.25,1264.15,1264.909065005375021046,154418,3476,195324728.00,67341,43.61,20.75,-3.85
