Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,549.00,553.80,541.65,550.25,548.272505944322461006,87899,1884,48192605.00,15486,17.62,12.15,1.25
30-July-2019,550.00,560.80,547.35,548.75,552.355070205586174352,224626,3092,124073310.00,130880,58.27,13.45,-1.25
29-July-2019,565.95,565.95,552.00,553.10,556.770560096306152189,63132,1393,35150039.00,16934,26.82,13.95,-12.85
26-July-2019,547.70,566.85,545.25,564.80,560.424432547347134542,154286,3190,86465644.00,33458,21.69,21.60,17.10
25-July-2019,552.00,553.10,542.05,547.90,546.768842142582799066,101541,2261,55519455.00,19619,19.32,11.05,-4.10
24-July-2019,559.50,559.50,546.05,549.85,550.751459833846040488,108574,2663,59797289.00,27327,25.17,13.45,-9.65
23-July-2019,566.00,568.25,556.00,561.45,561.898147037658911009,133408,2944,74961708.00,46037,34.51,12.25,-4.55
22-July-2019,573.80,576.45,560.00,564.80,566.539829900291643126,130982,2902,74206520.00,33357,25.47,16.45,-9.00
19-July-2019,605.90,605.90,570.00,571.35,576.426914315599213113,456991,5437,263421912.00,309951,67.82,35.90,-34.55
18-July-2019,615.00,616.15,595.00,597.40,601.396126056024899955,179920,4249,108203191.00,60991,33.90,21.15,-17.60
17-July-2019,624.00,626.00,615.35,617.90,619.872378786197714412,72104,2448,44695278.00,27527,38.18,10.65,-6.10
16-July-2019,627.90,627.90,619.00,623.10,623.648133624175878042,81602,1830,50890935.00,32894,40.31,8.90,-4.80
15-July-2019,632.00,637.60,626.00,631.65,631.411167956622502077,45738,1554,28879484.00,15316,33.49,11.60,-0.35
12-July-2019,633.65,637.00,628.65,631.80,632.453245244663859445,41322,1114,26134233.00,9892,23.94,8.35,-1.85
11-July-2019,622.05,635.40,622.05,633.65,631.754765046761145217,87145,1850,55054269.00,40127,46.05,13.35,11.60
10-July-2019,631.00,634.70,619.30,621.30,623.954386425260211667,91464,2722,57069364.00,40503,44.28,15.40,-9.70
9-July-2019,634.00,638.35,630.20,632.50,634.061698158880234660,70229,2059,44529519.00,34273,48.80,8.15,-1.50
8-July-2019,641.00,645.00,625.20,635.10,638.204617902321360706,128933,3187,82285636.00,46895,36.37,19.80,-5.90
5-July-2019,674.90,675.00,638.20,642.30,659.443101232414568654,174292,4382,114935657.00,57090,32.76,36.80,-32.60
4-July-2019,670.10,673.95,666.50,671.90,670.537119725220804710,81520,2086,54662186.00,39652,48.64,7.45,1.80
3-July-2019,667.15,674.85,663.60,670.25,669.068152330326882701,127171,3263,85086066.00,50712,39.88,11.25,3.10
2-July-2019,665.00,668.00,656.30,666.30,662.755701504887004188,77348,2246,51262828.00,43524,56.27,11.70,1.30
1-July-2019,658.00,663.75,654.60,659.80,659.984019321168153384,108068,2568,71323153.00,52180,48.28,9.15,1.80
28-June-2019,661.45,662.75,651.35,655.90,656.173218107753561483,86902,2143,57022765.00,39689,45.67,11.40,-5.55
27-June-2019,643.10,661.05,643.10,658.50,655.531331483663830300,107767,3005,70644645.00,37520,34.82,17.95,15.40
26-June-2019,642.00,647.40,640.00,643.25,644.621990697674418604,80625,2251,51972648.00,42068,52.18,7.40,1.25
25-June-2019,635.00,644.25,635.00,641.30,641.329098564369462881,136804,5255,87736386.00,64799,47.37,9.25,6.30
24-June-2019,628.05,637.45,626.65,635.45,633.390523148921945512,83762,1884,53054057.00,40566,48.43,10.80,7.40
21-June-2019,625.20,633.45,622.50,627.25,628.157079388917196313,111867,2586,70270048.00,49958,44.66,10.95,2.05
20-June-2019,616.30,631.30,611.05,628.15,623.448567406495772605,118631,3183,73960327.00,53480,45.08,20.25,11.85
19-June-2019,632.00,632.00,608.00,615.25,617.739560155670558430,119997,3484,74126894.00,51241,42.70,24.00,-16.75
18-June-2019,627.00,629.10,620.00,625.95,625.826152600599549243,91402,2244,57201762.00,39539,43.26,9.10,-1.05
17-June-2019,639.50,641.00,622.10,624.20,630.440304150115547225,93901,2078,59198975.00,45257,48.20,18.90,-15.30
14-June-2019,641.00,641.00,633.50,635.55,637.119877638421535637,81725,1437,52068622.00,33515,41.01,7.50,-5.45
13-June-2019,633.00,642.90,628.10,640.90,635.091532203258189161,51501,1482,32707849.00,17320,33.63,14.80,7.90
12-June-2019,635.00,638.50,629.65,632.50,633.587826957686634822,73901,1712,46822774.00,24177,32.72,8.85,-2.50
11-June-2019,647.20,647.20,636.50,638.20,639.403735383906457001,69444,2275,44402753.00,22418,32.28,10.70,-9.00
10-June-2019,644.00,649.30,638.00,647.15,644.343161961290982820,78173,2268,50370238.00,27746,35.49,11.30,3.15
