Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,5543.00,5584.40,5447.00,5472.15,5513.489135045958048550,84860,9468,467874688.00,35696,42.06,137.40,-70.85
30-July-2019,5572.90,5644.75,5490.60,5507.35,5561.075414623058025371,114381,12957,636081367.00,35124,30.71,154.15,-65.55
29-July-2019,5788.00,5788.00,5540.30,5558.05,5617.101884818621128275,168239,14509,945015604.00,57221,34.01,247.70,-229.95
26-July-2019,5737.00,5955.25,5685.15,5805.55,5800.120780350877192982,178125,19372,1033146514.00,43577,24.46,270.10,68.55
25-July-2019,5795.00,5844.95,5701.00,5760.35,5761.066817691477885652,46350,5983,267025447.00,8552,18.45,143.95,-34.65
24-July-2019,5869.50,5869.50,5730.00,5766.60,5789.675272727272727272,46750,6332,270667319.00,19282,41.24,139.50,-102.90
23-July-2019,5918.00,5969.15,5823.60,5875.35,5896.564348578848650988,69310,8168,408690875.00,27437,39.59,145.55,-42.65
22-July-2019,5772.00,5940.00,5746.05,5912.00,5864.934285307201545110,63167,7937,370470304.00,9087,14.39,193.95,140.00
19-July-2019,5917.00,5917.00,5712.00,5768.90,5787.743100799016594960,65080,9080,376666321.00,17140,26.34,205.00,-148.10
18-July-2019,6087.90,6087.90,5859.00,5883.80,5933.155728517273082202,79401,8785,471098498.00,34568,43.54,228.90,-204.10
17-July-2019,6174.00,6174.00,6050.00,6074.20,6104.962931534067389684,48316,4480,294967389.00,21232,43.94,124.00,-99.80
16-July-2019,6081.00,6170.00,6052.30,6159.50,6133.747112813031850230,32904,4422,201824815.00,8554,26.00,117.70,78.50
15-July-2019,5975.00,6090.10,5960.00,6079.75,6040.228800040513508723,39493,4903,238546756.00,6876,17.41,130.10,104.75
12-July-2019,6020.00,6089.45,5955.00,5971.95,6023.700929080969774225,40793,6170,245724832.00,5471,13.41,134.45,-48.05
11-July-2019,5971.00,6050.00,5930.00,6025.55,6003.031090909090909090,66000,7392,396200052.00,17985,27.25,120.00,54.55
10-July-2019,5960.00,5995.95,5900.00,5928.70,5940.104315659679408138,60825,7161,361306845.00,12668,20.83,95.95,-31.30
9-July-2019,6050.00,6078.35,5911.00,5947.10,5986.314379329713536790,106820,13431,639458102.00,41079,38.46,167.35,-102.90
8-July-2019,6287.00,6287.00,5985.55,6033.15,6081.009673173739772298,108651,16118,660707782.00,35699,32.86,301.45,-253.85
5-July-2019,6550.00,6577.00,6300.00,6364.75,6483.268734873487348734,68175,7661,441996846.00,27921,40.95,277.00,-185.25
4-July-2019,6538.90,6586.75,6511.00,6542.00,6553.620338787072902815,34594,3635,226715942.00,13243,38.28,75.75,3.10
3-July-2019,6590.40,6594.95,6515.15,6530.20,6552.550634041793177353,33594,4141,220126386.00,13879,41.31,79.80,-60.20
2-July-2019,6501.00,6590.00,6488.00,6559.00,6530.296608345376833430,32521,3506,212371776.00,13453,41.37,102.00,58.00
1-July-2019,6555.05,6600.00,6494.00,6510.25,6526.947046665941477210,45965,5505,300011121.00,13072,28.44,106.00,-44.80
28-June-2019,6513.00,6550.50,6477.85,6534.00,6525.806066817864619678,45856,4507,299247363.00,13291,28.98,72.65,21.00
27-June-2019,6507.00,6575.00,6472.25,6488.10,6524.503435598932119567,45698,5241,298156758.00,10826,23.69,102.75,-18.90
26-June-2019,6535.00,6554.20,6461.20,6477.00,6499.364178506101380640,39909,4446,259383125.00,13512,33.86,93.00,-58.00
25-June-2019,6460.00,6540.00,6433.20,6521.50,6505.821252540353663949,42809,5427,278507702.00,15104,35.28,106.80,61.50
24-June-2019,6400.30,6494.00,6325.10,6462.95,6413.383803179617484462,58246,6770,373553953.00,14060,24.14,168.90,62.65
21-June-2019,6565.00,6565.00,6374.00,6412.45,6436.495866298009800432,73058,9454,470237515.00,19130,26.18,191.00,-152.55
20-June-2019,6398.00,6648.00,6341.05,6637.20,6543.712999320133753277,144146,8998,943250054.00,81847,56.78,306.95,239.20
19-June-2019,6499.00,6559.00,6382.00,6433.35,6467.268815052041633306,49960,6206,323104750.00,15707,31.44,177.00,-65.65
18-June-2019,6600.00,6648.60,6390.05,6437.05,6496.763905360531309297,67456,7995,438245706.00,21810,32.33,258.55,-162.95
17-June-2019,6737.00,6760.00,6559.75,6581.55,6637.062094163184835494,55287,5754,366943252.00,20525,37.12,200.25,-155.45
14-June-2019,6784.00,6835.00,6721.65,6731.75,6748.993674573449854348,36045,3691,243267477.00,12414,34.44,113.35,-52.25
13-June-2019,6849.00,6860.00,6765.00,6778.20,6800.145290984018494321,39796,3591,270618582.00,14146,35.55,95.00,-70.80
12-June-2019,6973.00,6973.00,6830.00,6848.50,6877.698134754472782641,28897,3391,198744843.00,4998,17.30,143.00,-124.50
11-June-2019,6970.00,7015.60,6931.35,6973.00,6969.370847264707974674,14057,1928,97968446.00,2006,14.27,84.25,3.00
10-June-2019,6992.75,7037.15,6921.85,6960.10,6971.667406174893695692,16227,2351,113129247.00,2938,18.11,115.30,-32.65
7-June-2019,6994.00,6999.55,6867.00,6947.60,6936.922167529134587067,23769,3339,164883703.00,2912,12.25,132.55,-46.40
6-June-2019,7060.00,7102.00,6926.40,6983.90,7026.337360754070265638,46680,6643,327989428.00,7010,15.02,175.60,-76.10
4-June-2019,7012.00,7075.70,6979.50,7049.60,7026.785465348797349025,35006,3834,245979652.00,5368,15.33,96.20,37.60
3-June-2019,6748.00,7062.00,6748.00,7032.60,6949.870341184367977118,68526,8422,476246815.00,14802,21.60,314.00,284.60
31-May-2019,6900.00,6960.90,6820.70,6863.65,6897.964504636663697804,38174,4397,263322897.00,5874,15.39,140.20,-36.35
30-May-2019,6900.00,6920.00,6825.30,6858.75,6873.906556970105322883,28199,3397,193837291.00,4270,15.14,94.70,-41.25
29-May-2019,7024.90,7024.90,6863.90,6887.05,6935.835556372420311925,38086,4997,264158233.00,9137,23.99,161.00,-137.85
28-May-2019,7085.00,7130.00,7028.55,7051.40,7075.010136765888978278,24860,2992,175884752.00,3215,12.93,101.45,-33.60
27-May-2019,7080.00,7190.00,6900.00,7062.70,7130.895362723602150877,158261,9809,1128542631.00,82834,52.34,290.00,-17.30
24-May-2019,6980.00,7120.20,6891.75,7096.15,7039.979701603559014118,69907,7835,492143861.00,20836,29.81,228.45,116.15
23-May-2019,6995.00,7049.90,6830.35,6932.80,6960.632182380996665382,75271,8055,523933745.00,20475,27.20,219.55,-62.20
22-May-2019,6897.90,6925.10,6845.00,6904.10,6894.875323734996797460,35909,4669,247588078.00,13025,36.27,80.10,6.20
21-May-2019,7100.05,7130.30,6813.55,6857.80,6983.322031101237702316,78775,8907,550111193.00,15765,20.01,316.75,-242.25
20-May-2019,6861.00,7144.15,6861.00,7088.35,7028.468865674097227934,72942,8019,512670576.00,19971,27.38,283.15,227.35
17-May-2019,6501.00,6799.00,6484.00,6707.20,6632.454890632677675367,67159,8852,445429038.00,26585,39.59,315.00,206.20
16-May-2019,6530.00,6530.00,6445.00,6478.45,6474.004081737433896390,38954,5142,252188355.00,15939,40.92,85.00,-51.55
15-May-2019,6580.00,6635.00,6445.75,6484.95,6554.974741296657519754,60494,7987,396536642.00,18777,31.04,189.25,-95.05
14-May-2019,6520.00,6612.00,6451.00,6569.55,6549.827834716602179756,67714,13121,443515042.00,38238,56.47,161.00,49.55
