Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,126.70,127.35,125.60,126.50,126.492382502570947947,293666,1037,37146512.00,142227,48.43,1.75,-0.20
30-July-2019,127.10,128.65,126.20,127.35,127.883034319787035066,418097,1328,53467513.00,224023,53.58,2.45,0.25
29-July-2019,128.60,128.60,126.90,127.25,127.665866177623434346,281911,1356,35990412.00,40389,14.33,1.70,-1.35
26-July-2019,130.80,130.80,128.40,128.90,129.261674240633626629,224233,934,28984733.00,73236,32.66,2.40,-1.90
25-July-2019,132.00,132.70,128.50,129.85,130.530399235343909326,457199,1679,59678368.00,263378,57.61,4.20,-2.15
24-July-2019,133.00,133.50,130.85,131.65,131.640457420101779377,851646,1117,112111069.00,693812,81.47,2.65,-1.35
23-July-2019,131.00,133.50,130.60,133.10,132.516090780189730258,236968,1509,31402073.00,53188,22.45,2.90,2.10
22-July-2019,130.05,132.60,127.85,131.00,131.000095408662561368,366843,1485,48056468.00,96195,26.22,4.75,0.95
19-July-2019,128.45,130.95,126.10,129.85,129.335723028877308782,930523,4857,120349865.00,298399,32.07,4.85,1.40
18-July-2019,130.70,130.90,126.45,127.05,128.123085844662040117,525950,2529,67386337.00,196849,37.43,4.45,-3.65
17-July-2019,131.50,132.05,128.70,129.35,129.868802811691831087,662377,2173,86022108.00,299904,45.28,3.35,-2.15
16-July-2019,128.05,131.40,128.05,131.05,130.250802769314044752,572705,2379,74595286.00,260389,45.47,3.35,3.00
15-July-2019,128.00,128.85,127.40,127.90,128.078753220391911936,204944,1375,26248972.00,62777,30.63,1.45,-0.10
12-July-2019,129.80,132.50,126.50,128.20,129.922420193021529324,352914,3165,45851441.00,93722,26.56,6.00,-1.60
11-July-2019,129.25,130.90,128.65,129.00,129.697606341640329516,154408,1241,20026348.00,40837,26.45,2.25,-0.25
10-July-2019,129.85,130.95,128.70,129.10,129.641550076332685028,191268,1298,24796280.00,59573,31.15,2.25,-0.75
9-July-2019,128.75,131.95,127.65,129.75,129.692341236897083375,548065,2976,71079833.00,137017,25.00,4.30,1.00
8-July-2019,136.50,136.50,128.65,129.65,132.323179770329282106,549134,2752,72663157.00,124980,22.76,7.85,-6.85
5-July-2019,143.00,143.80,135.45,136.45,137.892464559252362716,910816,5118,125594663.00,285947,31.39,8.35,-6.55
4-July-2019,143.50,144.15,142.40,143.35,143.104866278490216428,170541,1326,24405247.00,48132,28.22,1.75,-0.15
3-July-2019,143.10,144.25,142.65,143.30,143.718028485199887010,269052,1824,38667623.00,133302,49.54,1.60,0.20
2-July-2019,142.70,144.35,142.70,142.95,143.426633986309102136,263971,2354,37860472.00,86478,32.76,1.65,0.25
1-July-2019,142.10,145.85,138.75,142.60,142.513801351890886330,1147134,6096,163482427.00,212384,18.51,7.10,0.50
28-June-2019,140.05,141.75,139.70,141.35,140.921518761433096863,291369,2177,41060162.00,104966,36.03,2.05,1.30
27-June-2019,141.00,141.90,139.10,140.30,140.757308966889848603,414012,3135,58275215.00,95847,23.15,2.80,-0.70
26-June-2019,140.00,141.95,139.35,139.95,140.535494421023437747,1042037,3597,146443185.00,481681,46.22,2.60,-0.05
25-June-2019,136.50,139.70,135.65,138.90,138.959238631653420220,1160437,6222,161253442.00,768501,66.23,4.05,2.40
