Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,413.00,428.40,409.95,426.75,421.840068078328003849,421867,4780,177960404.00,56233,13.33,18.45,13.75
30-July-2019,430.90,441.20,405.05,410.50,423.753195509944557679,841415,8362,356552295.00,198149,23.55,36.15,-20.40
29-July-2019,440.00,441.55,429.30,431.15,432.329739726171337305,190338,2998,82288778.00,30184,15.86,12.25,-8.85
26-July-2019,437.50,442.10,433.25,439.80,438.590935916190666948,279587,3573,122624324.00,66844,23.91,8.85,2.30
25-July-2019,426.00,439.45,425.70,437.15,434.208606942595289152,464927,6632,201875305.00,81140,17.45,13.75,11.15
24-July-2019,431.25,432.30,422.05,425.70,425.792534123575481553,292906,3339,124717188.00,102654,35.05,10.25,-5.55
23-July-2019,431.50,435.20,427.30,430.15,431.053173823065699971,357093,4995,153926071.00,69852,19.56,7.90,-1.35
22-July-2019,419.80,443.00,419.75,430.10,433.265200851649165298,607762,8019,263322125.00,105439,17.35,23.25,10.30
19-July-2019,426.15,429.50,416.35,421.55,421.928321905114899925,215840,3081,91069009.00,24579,11.39,13.15,-4.60
18-July-2019,430.00,432.75,424.75,426.15,427.858610425569258432,279179,3955,119449139.00,44508,15.94,8.00,-3.85
17-July-2019,435.00,436.45,428.25,429.95,432.052946927239112969,309933,4204,133907466.00,38074,12.28,8.20,-5.05
16-July-2019,421.30,434.95,418.75,433.25,427.000410390778834884,506834,6363,216418326.00,90588,17.87,16.20,11.95
15-July-2019,415.50,427.65,414.25,422.40,421.295726099212383458,1047591,12630,441345611.00,186321,17.79,13.40,6.90
12-July-2019,400.20,411.20,397.30,407.70,405.381315143821619067,702676,8352,284851721.00,151645,21.58,13.90,7.50
11-July-2019,395.00,400.30,390.45,398.10,395.410538855706778941,490224,5473,193839736.00,75872,15.48,9.85,3.10
10-July-2019,387.00,397.35,380.80,392.05,390.702584365135197048,615509,6947,240480957.00,57379,9.32,16.55,5.05
