Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,64.95,66.00,64.05,65.20,65.129926550168423868,328932,1256,21423317.00,38445,11.69,1.95,0.25
30-July-2019,67.45,68.05,64.30,64.60,66.456887622160315509,310862,1568,20658921.00,66415,21.36,3.75,-2.85
29-July-2019,70.00,71.25,66.00,66.40,67.719162924517892571,480339,1985,32528155.00,81333,16.93,5.25,-3.60
26-July-2019,68.05,72.45,67.55,70.85,70.918211401577258087,718462,2551,50952040.00,90725,12.63,4.90,2.80
25-July-2019,72.90,72.90,69.30,69.75,70.973455754176636819,461795,1836,32775187.00,54321,11.76,3.60,-3.15
24-July-2019,76.85,76.85,71.80,72.20,72.921217568174830302,338248,1197,24665456.00,58450,17.28,5.05,-4.65
23-July-2019,75.50,75.95,74.00,75.10,75.027896290085246656,243294,785,18253837.00,40829,16.78,1.95,-0.40
22-July-2019,75.00,75.95,73.55,74.80,74.672031725484446574,279649,993,20881959.00,42127,15.06,2.40,-0.20
19-July-2019,77.35,77.70,73.35,73.65,74.731164164262198750,265478,1514,19839480.00,53449,20.13,4.35,-3.70
18-July-2019,81.15,81.15,76.55,76.85,77.565087146901842906,292093,1379,22656219.00,54150,18.54,4.60,-4.30
17-July-2019,81.55,81.95,79.20,80.25,80.420563791036517890,347008,1354,27906579.00,58410,16.83,2.75,-1.30
16-July-2019,77.65,81.25,77.00,80.90,80.218214102249123355,447730,1887,35916101.00,83788,18.71,4.25,3.25
15-July-2019,78.75,78.75,75.70,77.70,77.430623154212931646,242444,1521,18772590.00,33979,14.02,3.05,-1.05
12-July-2019,75.85,79.10,74.70,77.10,76.890573613099186537,286430,1401,22023767.00,59302,20.70,4.40,1.25
11-July-2019,74.20,76.40,72.55,75.85,74.760454446719018437,303842,1401,22715366.00,47392,15.60,3.85,1.65
10-July-2019,75.00,75.00,71.60,73.10,72.927941499483921882,514457,2519,37518290.00,133741,26.00,3.40,-1.90
9-July-2019,75.75,75.90,74.00,74.70,74.928293685352401032,261804,1289,19616527.00,62022,23.69,1.90,-1.05
8-July-2019,78.10,78.10,74.50,74.80,75.457671186125159008,322310,1411,24320762.00,84363,26.17,3.60,-3.30
5-July-2019,81.90,81.90,77.45,78.05,79.918532483284512961,295983,1241,23654527.00,59405,20.07,4.45,-3.85
4-July-2019,80.00,82.45,79.70,80.65,81.103962631162650172,294577,1357,23891362.00,58164,19.74,2.75,0.65
3-July-2019,79.85,81.10,78.85,80.10,79.851400152706411605,193836,952,15478076.00,31424,16.21,2.25,0.25
2-July-2019,82.40,82.40,78.45,79.75,79.532292766020478068,270045,1155,21477298.00,49474,18.32,3.95,-2.65
1-July-2019,80.70,82.30,80.05,81.70,81.400848431749169727,267081,1162,21740620.00,43899,16.44,2.25,1.00
28-June-2019,81.70,82.25,79.10,79.55,80.417448201931920028,170711,1029,13728143.00,26760,15.68,3.15,-2.15
27-June-2019,78.90,82.70,78.70,81.80,81.066798742310821062,437628,2138,35477101.00,82134,18.77,4.00,2.90
26-June-2019,77.80,78.95,77.25,78.50,78.361975156034692388,197392,982,15468027.00,37545,19.02,1.70,0.70
25-June-2019,76.05,78.35,76.05,77.85,77.511791753188964698,242712,1121,18813042.00,31927,13.15,2.30,1.80
24-June-2019,78.35,78.35,75.40,77.70,76.699021665521994515,208211,987,15969580.00,47056,22.60,2.95,-0.65
21-June-2019,75.10,77.75,74.65,76.70,76.384156899640680205,399644,1967,30526470.00,125943,31.51,3.10,1.60
20-June-2019,75.05,77.15,73.95,77.00,75.620954931348412207,208371,1004,15757214.00,47070,22.59,3.20,1.95
19-June-2019,77.90,78.85,74.10,75.05,75.894409073073174436,237009,1291,17987658.00,54301,22.91,4.75,-2.85
18-June-2019,78.55,78.75,76.15,76.80,77.660425571066520571,239114,1102,18569695.00,64633,27.03,2.60,-1.75
17-June-2019,80.65,80.65,77.60,78.00,78.743041567806633358,279014,1174,21970411.00,86671,31.06,3.05,-2.65
14-June-2019,82.00,82.40,80.00,80.50,81.574046208267757325,202691,865,16534325.00,32488,16.03,2.40,-1.50
