Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,134.45,136.30,132.50,135.60,134.321880786179516240,1498182,7578,201238624.00,163016,10.88,3.80,1.15
30-July-2019,138.40,139.70,132.60,133.45,136.507220925019661122,1969623,10308,268867762.00,318595,16.18,7.10,-4.95
29-July-2019,148.50,148.50,136.95,137.60,140.324679936728553439,2455452,12669,344560516.00,532915,21.70,11.55,-10.90
26-July-2019,138.15,150.05,138.15,147.20,146.069638237345735253,4307935,19812,629258507.00,304563,7.07,11.90,9.05
25-July-2019,151.70,152.55,143.75,144.35,147.295851002371367708,2065053,14566,304173739.00,372771,18.05,8.80,-7.35
24-July-2019,156.60,157.50,150.40,151.25,152.610374503128644602,995479,7242,151920423.00,177928,17.87,7.10,-5.35
23-July-2019,157.05,159.00,154.80,156.20,156.733755459113125145,730430,4503,114483037.00,108115,14.80,4.20,-0.85
22-July-2019,155.05,159.25,155.05,156.70,156.861553634860613203,1221780,6425,191650309.00,334393,27.37,4.20,1.65
19-July-2019,162.00,162.50,153.90,154.80,156.634985723148816672,1378105,8832,215859457.00,339177,24.61,8.60,-7.20
18-July-2019,167.70,167.70,160.10,160.80,162.856860780748153779,1133938,6529,184669583.00,187914,16.57,7.60,-6.90
17-July-2019,170.00,172.40,166.30,167.85,168.982136691909758775,1413456,7396,238848815.00,223788,15.83,6.10,-2.15
16-July-2019,160.20,170.90,159.35,169.85,167.264776809288486991,2071726,13395,346526787.00,349828,16.89,11.55,9.65
15-July-2019,159.50,162.60,157.80,160.95,160.490349687162634859,1010589,5584,162189782.00,107781,10.67,4.80,1.45
12-July-2019,156.40,162.70,153.95,159.30,159.061035343630888313,1654697,8407,263197818.00,208741,12.62,8.75,2.90
11-July-2019,153.35,157.65,150.40,156.90,154.771582845564441854,1818655,8137,281476113.00,316801,17.42,7.25,3.55
10-July-2019,156.05,156.30,149.15,151.40,151.354328185620770725,2137778,14359,323561953.00,494270,23.12,7.15,-4.65
9-July-2019,154.00,157.15,152.65,155.75,155.115669046477684424,1212001,6203,188000346.00,203716,16.81,4.50,1.75
8-July-2019,159.60,159.60,153.50,154.65,155.287808043649793688,1027817,6208,159607449.00,257705,25.07,6.10,-4.95
5-July-2019,165.85,166.90,159.60,160.15,163.904443309782940487,1081086,5579,177194799.00,195944,18.12,7.30,-5.70
4-July-2019,162.70,167.80,162.10,165.20,165.612025289559793566,1482509,7852,245521318.00,248547,16.77,5.70,2.50
3-July-2019,163.70,165.00,161.75,162.35,163.132883272625742212,941947,5683,153662530.00,235829,25.04,3.25,-1.35
2-July-2019,167.00,167.25,161.35,163.70,164.005108050464215251,950852,6380,155944585.00,235787,24.80,5.90,-3.30
1-July-2019,163.75,169.35,163.25,167.85,167.262589873169384811,1376245,7960,230194303.00,308643,22.43,6.10,4.10
28-June-2019,165.65,166.80,161.40,162.60,164.021152388812024666,1067539,5489,175098977.00,210927,19.76,5.40,-3.05
27-June-2019,162.00,167.90,161.10,165.85,165.045815035634651120,1512713,9350,249666950.00,251277,16.61,6.80,3.85
26-June-2019,160.40,162.20,158.80,161.10,160.685377185463467716,1060473,6655,170402504.00,241075,22.73,3.40,0.70
25-June-2019,158.40,160.90,156.80,160.50,159.151466848061607973,1126088,7231,179218557.00,177218,15.74,4.10,2.10
24-June-2019,159.30,160.15,156.30,159.25,158.485374700860244386,1048423,5806,166159712.00,203110,19.37,3.85,-0.05
