Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,414.45,433.40,409.35,431.90,423.085866465540113233,599291,7381,253551552.00,82022,13.69,24.05,17.45
30-July-2019,434.70,441.95,406.25,414.70,426.432691312565704543,734348,8528,313149994.00,105600,14.38,35.70,-20.00
29-July-2019,445.25,446.35,431.20,433.45,435.733597777295494639,465379,5715,202781266.00,63257,13.59,15.15,-11.80
26-July-2019,441.50,447.95,435.75,445.25,443.558334328017395726,385382,4941,170939398.00,45023,11.68,12.20,3.75
25-July-2019,448.00,451.85,438.45,440.35,443.011193177974700669,473056,6077,209569103.00,82748,17.49,13.40,-7.65
24-July-2019,459.00,462.90,443.25,446.05,449.066677083231609066,512005,8587,229924384.00,94016,18.36,19.65,-12.95
23-July-2019,466.75,467.80,457.00,460.15,460.854431199063442748,355344,4579,163761857.00,43154,12.14,10.80,-6.60
22-July-2019,458.10,467.00,451.20,465.25,460.356954293392737520,504566,5887,232280467.00,49042,9.72,15.80,7.15
19-July-2019,469.30,472.90,453.60,458.10,461.583653248159210091,520972,6769,240472159.00,76531,14.69,19.30,-11.20
18-July-2019,475.00,475.00,464.00,466.55,468.278904408175312855,264259,3669,123746915.00,41233,15.60,11.00,-8.45
17-July-2019,475.20,479.70,469.00,475.70,474.765190760809599801,371591,5422,176418472.00,48725,13.11,10.70,0.50
16-July-2019,465.95,478.60,464.10,476.50,474.519355540409240541,344785,5018,163607156.00,52483,15.22,14.50,10.55
15-July-2019,476.80,478.00,463.35,468.20,467.723178368004724002,569009,6415,266138698.00,165592,29.10,14.65,-8.60
12-July-2019,464.00,479.60,460.55,472.60,472.861106818305490558,918850,10837,434488428.00,124010,13.50,19.05,8.60
11-July-2019,460.35,466.50,454.00,461.80,460.482932730618217643,690210,9593,317829925.00,80171,11.62,12.50,1.45
10-July-2019,470.20,474.05,448.10,454.60,457.648439407324629955,794634,13877,363663010.00,153711,19.34,25.95,-15.60
9-July-2019,469.00,472.10,462.70,468.35,468.091537914672354074,483876,9067,226498261.00,93137,19.25,9.40,-0.65
8-July-2019,475.00,479.20,465.50,468.00,471.769734788897285154,631233,9439,297796625.00,137903,21.85,13.70,-7.00
5-July-2019,498.10,498.20,474.55,478.15,486.602047871312014229,646525,8790,314600389.00,179031,27.69,23.65,-19.95
