Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,150.55,154.65,148.25,154.15,151.539657611913339287,797224,7847,120811052.00,144353,18.11,6.40,3.60
30-July-2019,156.30,159.00,149.80,150.55,153.959322868326540494,1239050,7790,190763299.00,174710,14.10,9.20,-5.75
29-July-2019,165.00,165.00,155.10,155.70,157.507142191932478007,955659,5762,150523118.00,207047,21.67,9.90,-9.30
26-July-2019,175.10,175.60,162.80,164.05,166.871191422374536687,1338459,8409,223350248.00,172987,12.92,12.80,-11.05
25-July-2019,165.00,172.60,164.30,171.35,168.473656570341219879,733105,4369,123508880.00,143937,19.63,8.30,6.35
24-July-2019,168.05,168.50,160.90,165.05,163.605660954772008272,513023,3234,83933467.00,37356,7.28,7.60,-3.00
23-July-2019,167.20,168.45,164.90,168.05,167.075588609483719980,509336,2556,85097612.00,58265,11.44,3.55,0.85
22-July-2019,161.05,168.65,161.05,167.25,166.547433423706220918,729201,4298,121446555.00,115987,15.91,7.60,6.20
19-July-2019,163.80,165.70,160.65,161.05,162.684179700259282703,443917,2184,72218273.00,75811,17.08,5.05,-2.75
18-July-2019,167.00,167.55,162.15,163.10,164.208771316134674245,343050,1997,56331819.00,43517,12.69,5.40,-3.90
17-July-2019,168.70,169.10,166.85,168.65,168.209754436111315172,299474,1658,50374448.00,64433,21.52,2.25,-0.05
16-July-2019,166.70,170.20,166.00,166.85,167.694874923322705242,445047,2543,74632101.00,50512,11.35,4.20,0.15
15-July-2019,167.70,167.70,162.85,166.70,165.161691172322541271,389978,2857,64409426.00,44073,11.30,4.85,-1.00
12-July-2019,164.85,168.70,162.40,167.70,166.101494652265344116,663365,3392,110185918.00,97997,14.77,6.30,2.85
11-July-2019,162.50,165.10,160.85,163.70,163.070364383850451526,569180,3775,92816390.00,69084,12.14,4.25,1.20
10-July-2019,160.05,162.10,156.95,160.00,159.553433937746105251,483279,3444,77108824.00,59600,12.33,5.15,-0.05
9-July-2019,161.95,163.60,160.00,161.55,161.654914428895612708,338432,2893,54709196.00,61714,18.24,3.60,-0.40
8-July-2019,164.10,165.20,161.00,161.95,162.623881719024317358,428336,2735,69657663.00,83615,19.52,4.20,-2.15
5-July-2019,172.00,172.00,163.15,163.55,166.266643399508909431,564458,3745,93850537.00,143545,25.43,8.85,-8.45
4-July-2019,173.95,174.10,170.20,171.10,172.258245111088358759,244175,1756,42061157.00,50224,20.57,3.90,-2.85
3-July-2019,174.00,174.60,170.05,172.65,172.074453516645891571,406737,3930,69989047.00,84989,20.90,4.55,-1.35
2-July-2019,175.00,175.80,171.30,174.75,173.820175596416105933,222328,1783,38645092.00,36169,16.27,4.50,-0.25
1-July-2019,177.90,177.90,172.70,174.00,174.562580405575670764,301596,2290,52647376.00,55549,18.42,5.20,-3.90
28-June-2019,178.90,178.90,172.50,174.30,174.435177383592017738,360800,2669,62936212.00,80423,22.29,6.40,-4.60
27-June-2019,178.55,179.95,176.30,176.90,177.633756432735019329,843537,4329,149840646.00,351711,41.69,3.65,-1.65
26-June-2019,170.10,179.25,168.85,177.85,173.361011995111042590,629173,4261,109074068.00,131916,20.97,10.40,7.75
25-June-2019,169.00,171.35,166.75,170.35,170.013342039779044526,396641,3484,67434262.00,76494,19.29,4.60,1.35
24-June-2019,172.95,173.45,167.10,168.50,169.066399001631229872,427898,3082,72343174.00,74217,17.34,6.35,-4.45
21-June-2019,172.50,173.70,170.90,172.35,172.482789381036205338,420380,2411,72508315.00,125901,29.95,2.80,-0.15
20-June-2019,166.70,172.40,166.55,171.95,170.475940867537068758,495633,3547,84493502.00,96428,19.46,5.85,5.25
19-June-2019,170.00,172.75,166.30,168.30,169.255944018731375053,751680,3680,127226308.00,125142,16.65,6.45,-1.70
18-June-2019,164.00,169.15,164.00,168.00,167.510545531558326158,434402,2674,72766916.00,94125,21.67,5.15,4.00
17-June-2019,169.05,169.05,163.35,163.95,164.929649731690520186,293318,2075,48376835.00,58072,19.80,5.70,-5.10
14-June-2019,168.35,171.30,167.85,169.60,169.887105119635290662,286036,2081,48593828.00,66805,23.36,3.45,1.25
13-June-2019,170.00,170.65,165.40,168.35,167.233068211639784403,297222,1848,49705347.00,54574,18.36,5.25,-1.65
12-June-2019,169.10,173.25,168.30,170.10,170.983459716903537577,487537,5620,83360763.00,103071,21.14,4.95,1.00
11-June-2019,166.40,169.85,165.65,169.25,168.757638956147430723,464625,2976,78409018.00,147713,31.79,4.20,2.85
10-June-2019,168.00,168.25,163.80,165.45,165.858504732078760348,318993,2258,52907702.00,93472,29.30,4.45,-2.55
7-June-2019,163.90,167.80,162.75,164.35,165.499177427108024333,482632,3766,79875199.00,74490,15.43,5.05,0.45
6-June-2019,165.10,166.15,160.85,162.95,162.860117345410261498,514038,2560,83716289.00,137708,26.79,5.30,-2.15
4-June-2019,164.00,167.60,164.00,165.90,165.876181391544081224,353291,2689,58602562.00,76860,21.76,3.60,1.90
3-June-2019,160.65,164.50,159.40,163.95,162.616535255179269367,442630,2538,71978957.00,68109,15.39,5.10,3.30
31-May-2019,164.80,165.50,158.60,160.65,161.142571254315555603,734552,4330,118367598.00,228718,31.14,6.90,-4.15
30-May-2019,165.80,165.95,162.80,163.95,164.312433494129748519,451088,2740,74119367.00,93813,20.80,3.15,-1.85
29-May-2019,168.95,168.95,163.85,165.80,165.629767469713995850,567754,4201,94036963.00,114990,20.25,5.10,-3.15
28-May-2019,166.90,171.60,165.80,169.10,168.588787852285378635,846118,8082,142646008.00,162127,19.16,5.80,2.20
27-May-2019,165.00,167.80,162.80,166.30,165.656418046218898868,459509,2873,76120615.00,88977,19.36,5.00,1.30
24-May-2019,160.20,164.55,155.60,163.85,159.980236196113575695,940659,5160,150486849.00,153767,16.35,8.95,3.65
23-May-2019,168.80,168.80,156.00,157.25,162.487494799848497078,966318,5267,157014591.00,255997,26.49,12.80,-11.55
22-May-2019,165.50,167.90,164.70,166.45,166.441898138508307999,240130,2089,39967693.00,69134,28.79,3.20,0.95
21-May-2019,168.00,168.60,163.90,165.45,165.549440995889924394,295615,1667,48938898.00,61497,20.80,4.70,-2.55
20-May-2019,165.15,167.90,164.35,166.65,166.425535588261128998,330151,2451,54945557.00,84289,25.53,3.55,1.50
17-May-2019,163.90,164.25,159.45,160.80,160.851324083893012843,407376,2441,65526969.00,123209,30.24,4.80,-3.10
16-May-2019,160.30,163.60,159.00,163.15,161.294650831100625158,450126,2676,72602916.00,95435,21.20,4.60,2.85
15-May-2019,162.00,163.25,155.90,159.60,161.599161348911764885,820365,4142,132570296.00,211286,25.76,7.35,-2.40
14-May-2019,152.50,161.45,152.50,160.55,158.242772826013346321,959815,5604,151883787.00,203145,21.16,8.95,8.05
13-May-2019,156.95,157.90,152.90,154.25,155.220312503844176165,406459,4040,63090693.00,84514,20.79,5.00,-2.70
10-May-2019,158.80,159.60,153.90,155.90,156.751398650927979882,684767,5132,107338185.00,124285,18.15,5.70,-2.90
9-May-2019,159.40,160.55,156.60,157.25,158.316890719099386520,569212,4018,90115874.00,162837,28.61,3.95,-2.15
8-May-2019,159.00,163.30,156.20,159.30,159.110884567568862815,1418908,11430,225763707.00,209999,14.80,7.10,0.30
7-May-2019,167.40,170.15,162.00,163.40,166.975823419314588128,929660,8429,155230744.00,228459,24.57,8.15,-4.00
6-May-2019,164.85,168.30,163.25,166.85,166.127095659511205311,398204,3141,66152474.00,94919,23.84,5.05,2.00
3-May-2019,167.10,168.95,165.95,167.75,167.555707454437638206,342333,2812,57359848.00,47024,13.74,3.00,0.65
2-May-2019,168.00,169.10,164.45,168.30,167.489837144067967630,495530,3404,82996239.00,91572,18.48,4.65,0.30
30-April-2019,170.00,170.00,163.55,166.85,165.700902333580709380,848910,5846,140665153.00,301447,35.51,6.45,-3.15
26-April-2019,172.00,172.60,168.10,169.65,170.270809653492411008,786534,5384,133923781.00,189367,24.08,4.50,-2.35
25-April-2019,175.25,175.25,170.30,170.85,171.937096507200794570,416829,2954,71668368.00,144989,34.78,4.95,-4.40
24-April-2019,175.15,175.95,171.15,174.85,173.012258513465821517,501529,4922,86770665.00,98659,19.67,4.80,-0.30
23-April-2019,175.50,176.35,174.20,174.70,175.123879374213552957,255103,1857,44674627.00,66542,26.08,2.15,-0.80
22-April-2019,179.00,179.70,174.70,175.10,176.590364345842077249,294967,2415,52088330.00,74386,25.22,5.00,-3.90
18-April-2019,185.90,186.80,178.00,178.70,180.047265335027130783,643918,4259,115935675.00,160559,24.93,8.80,-7.20
16-April-2019,185.50,189.65,184.80,185.20,186.689040273646867797,519794,3171,97039843.00,78477,15.10,4.85,-0.30
15-April-2019,184.50,187.95,183.80,184.80,185.723713394021141028,354382,2747,65817141.00,70602,19.92,4.15,0.30
