Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,86.50,92.30,84.85,91.30,89.377592077578139000,9792965,31266,875271631.00,917682,9.37,7.45,4.80
30-July-2019,94.85,96.35,84.40,86.10,90.638139632847244965,8641090,29163,783212322.00,1597890,18.49,11.95,-8.75
29-July-2019,96.00,98.65,91.30,94.75,94.888911111846023801,8859707,31879,840687950.00,789005,8.91,7.35,-1.25
26-July-2019,88.75,96.90,87.10,96.10,93.381681397117431412,12249908,41932,1143917006.00,2048680,16.72,9.80,7.35
25-July-2019,88.50,90.40,85.80,87.65,88.134686223302788813,7466042,24134,658017269.00,782247,10.48,4.60,-0.85
24-July-2019,91.45,93.65,88.20,89.15,90.808215942697567569,7062318,23780,641316498.00,818870,11.59,5.45,-2.30
23-July-2019,89.40,93.85,87.15,90.70,91.019942641842881788,10737444,38644,977321537.00,862399,8.03,6.70,1.30
22-July-2019,83.00,92.40,81.75,91.15,88.386807152041122358,13900759,48257,1228643705.00,1712893,12.32,10.65,8.15
19-July-2019,86.00,86.90,82.55,83.25,84.711092944035145191,9258507,36067,784298247.00,1536067,16.59,4.35,-2.75
18-July-2019,88.65,90.30,83.70,85.80,87.149092430958157700,15911076,64005,1386635833.00,3327043,20.91,6.60,-2.85
17-July-2019,108.25,108.40,97.55,98.45,102.080011212395185894,15557782,58749,1588138561.00,2268933,14.58,10.85,-9.80
16-July-2019,94.35,106.30,92.30,103.90,99.545080589055956966,14806539,57090,1473918118.00,2119984,14.32,14.00,9.55
15-July-2019,95.45,99.30,92.65,93.20,95.890792543799373986,8062444,30546,773114145.00,1249483,15.50,6.65,-2.25
12-July-2019,93.20,94.90,91.70,94.15,93.413478131693641569,4338539,16824,405278018.00,750338,17.29,3.20,0.95
11-July-2019,94.00,95.00,90.75,92.40,92.357888608597159188,5931122,20093,547785905.00,763412,12.87,4.25,-1.60
10-July-2019,92.00,93.95,91.60,93.00,92.922494751903523005,4796501,20256,445702839.00,569869,11.88,2.35,1.00
9-July-2019,94.90,97.00,90.35,91.35,93.908838133191204293,9713239,37571,912158989.00,1268628,13.06,6.65,-3.55
8-July-2019,87.00,94.55,85.70,93.10,92.168491542395568833,13166376,47383,1213525015.00,1797461,13.65,8.85,6.10
5-July-2019,95.00,96.80,87.45,88.20,91.353993907208855109,13787113,64143,1259507837.00,3033688,22.00,9.35,-6.80
4-July-2019,100.60,102.15,95.25,96.25,98.551747411314359268,6957778,32101,685701180.00,1465914,21.07,6.90,-4.35
3-July-2019,100.85,103.85,98.90,99.80,101.289272559550178239,7153589,29685,724581826.00,1259303,17.60,4.95,-1.05
2-July-2019,108.50,108.50,99.90,100.85,102.692698997062570500,9194093,43358,944166225.00,2660747,28.94,8.60,-7.65
1-July-2019,109.60,110.60,107.65,109.15,109.257034969786686727,3090525,12829,337661598.00,422304,13.66,2.95,-0.45
28-June-2019,112.30,113.00,107.60,108.70,109.560071051340573571,4515045,19392,494668651.00,741025,16.41,5.40,-3.60
27-June-2019,113.00,114.55,111.80,112.40,112.882247987144483793,3587565,14568,404972402.00,496865,13.85,2.75,-0.60
26-June-2019,109.25,114.65,108.55,113.10,112.130004245294798265,4805320,20204,538820552.00,663578,13.81,6.10,3.85
25-June-2019,111.00,112.50,109.10,110.05,110.338418883131068096,3596268,15081,396806525.00,561664,15.62,3.40,-0.95
24-June-2019,111.25,113.95,108.90,111.95,111.666093850793835324,5281511,21684,589765703.00,630873,11.94,5.05,0.70
21-June-2019,114.65,116.00,108.30,109.55,110.809063683428342802,7458204,29463,826436602.00,939115,12.59,7.70,-5.10
20-June-2019,102.35,115.90,98.75,114.55,108.264737686572414509,12294891,49403,1331103149.00,1063041,8.65,17.15,12.20
19-June-2019,109.00,111.40,101.40,103.25,105.328063000666404293,9485233,39428,999061219.00,1110163,11.70,10.00,-5.75
18-June-2019,116.00,117.45,107.10,109.30,112.195757678388579334,8598028,36443,964662266.00,1115425,12.97,10.35,-6.70
17-June-2019,117.75,118.30,113.80,116.20,116.081090667248964777,5010034,23274,581570211.00,799767,15.96,4.50,-1.55
14-June-2019,118.20,121.00,113.00,115.35,116.368227393062884792,11684367,49741,1359689076.00,1302563,11.15,8.00,-2.85
13-June-2019,130.80,130.80,116.10,117.20,121.629449470388689640,14285099,73151,1737488727.00,3232208,22.63,14.70,-13.60
12-June-2019,136.40,137.55,133.80,134.65,135.274082978392697597,4471405,26999,604865211.00,954828,21.35,3.75,-1.75
11-June-2019,135.00,143.55,133.55,139.30,139.327819079777271813,5783013,25369,805734589.00,629105,10.88,10.00,4.30
10-June-2019,142.00,145.00,132.50,135.90,137.130365332206817405,6081287,28321,833929108.00,948839,15.60,12.50,-6.10
7-June-2019,143.40,145.50,136.25,139.95,140.754610381188580486,5543739,27106,780306823.00,900046,16.24,9.25,-3.45
6-June-2019,149.75,151.25,142.30,143.35,146.911819448728130065,5978756,26747,878349922.00,1249089,20.89,8.95,-6.40
4-June-2019,148.75,153.80,148.60,152.75,152.311432502624846009,3264001,16101,497144668.00,542732,16.63,5.20,4.00
3-June-2019,147.95,149.90,144.60,149.35,147.973853216475873216,3188614,15607,471831500.00,509401,15.98,5.30,1.40
31-May-2019,156.00,157.00,147.20,147.95,151.307457889892874904,5290357,20786,800470469.00,1042783,19.71,9.80,-8.05
30-May-2019,150.35,156.45,149.80,154.55,154.127347250453308091,5104696,20593,786773253.00,1378953,27.01,6.65,4.20
29-May-2019,153.95,156.00,150.70,151.70,153.203575131710703710,3546219,17837,543293429.00,742453,20.94,5.30,-2.25
28-May-2019,148.75,154.90,148.10,152.60,152.493886765580788948,6392279,29435,974783470.00,1122934,17.57,6.80,3.85
27-May-2019,141.80,148.60,141.00,146.65,146.260793602055695800,5087134,24436,744048256.00,820052,16.12,7.60,4.85
24-May-2019,140.55,142.85,139.50,141.30,141.092231209422633661,3408304,16080,480885216.00,499800,14.66,3.35,0.75
23-May-2019,143.40,150.75,138.75,139.80,144.473398384762122260,9528256,42776,1376579525.00,1188188,12.47,12.00,-3.60
22-May-2019,140.90,141.55,135.45,137.70,137.916148445412941322,5214954,26595,719226370.00,889935,17.06,6.10,-3.20
21-May-2019,144.95,145.00,138.60,141.00,140.808281770720307054,4234819,20964,596297587.00,686995,16.22,6.40,-3.95
20-May-2019,142.05,144.90,137.20,143.60,141.570634251449831683,6123297,35499,866879040.00,1087109,17.75,7.70,1.55
17-May-2019,141.00,145.95,133.05,134.55,139.147658185527534785,9077790,50577,1263153220.00,1752647,19.31,12.90,-6.45
16-May-2019,143.90,146.00,135.00,137.80,139.473509502300021893,6454069,40306,900171654.00,1512811,23.44,11.00,-6.10
15-May-2019,154.90,154.90,142.50,143.65,147.651814463387084466,8203362,49719,1211241284.00,2434545,29.68,12.40,-11.25
14-May-2019,155.00,158.65,151.50,156.15,155.278230803525886855,4234736,24086,657562314.00,669125,15.80,7.15,1.15
13-May-2019,164.50,165.40,154.00,154.85,158.090395709114230986,4665144,29480,737514461.00,1315013,28.19,11.40,-9.65
10-May-2019,172.30,174.15,163.05,164.00,168.281745294049268365,4421742,32410,744098461.00,733228,16.58,11.10,-8.30
9-May-2019,158.00,171.45,156.75,170.30,166.506646306002259010,5591828,35393,931076527.00,809780,14.48,14.70,12.30
8-May-2019,165.00,166.55,160.05,160.75,162.391190937286339932,2863778,17785,465052320.00,691204,24.14,6.50,-4.25
7-May-2019,168.50,169.95,163.55,164.55,166.173889541659757597,3365142,19397,559198735.00,648689,19.28,6.40,-3.95
6-May-2019,169.50,171.90,165.50,166.30,168.470771479705579128,4312466,25974,726524474.00,1338518,31.04,6.40,-3.20
